model,# switches,#edits,# paths with switch,#paths
classroom_fol,1023,7664,253,253
classroom_rl,872,8119,354,362
coursesNew,2841,16128,402,402
coursesOld,2516,25489,579,579
cv_v1,82,1117,115,115
cv_v2,11,353,19,26
graphs,362,3513,264,264
lts,267,3284,223,223
productionLine_v1,88,776,106,110
productionLine_v2,454,5790,196,197
productionLineNew,395,4040,157,158
socialMedia,3926,32551,1317,1318
trainStationNew,2120,18829,329,331
trainStationOld,96,1294,52,54
trash_fol,695,4239,321,323
trash_ltl,925,7837,159,160
trash_rl,572,4990,442,442

