Pairs,12
,,"some Teaches",4
,,"some Teaches.Class",1
,,"some Person.Teaches",1
,,"some c:Class | some Teaches.c",1
,,"some c:Class, p:Person | p->c in Teaches",2
,,"some p: Person, c: Class | p->c in Teaches",1
,,"some c: Class | some p: Person | p->c in Teaches",1
,,"some x : Person | some c : Class | x->c in Teaches",1

Pairs,3
,,"some Teacher->Class",1
,,"some c : Class | some p : Person | p in Teacher",2

Pairs,1
,,"all p:Person | p in Person",1

Pairs,1
,,"all p:Person | some Teaches.Class",1

Pairs,1
,,"some t : Teacher | t.Teaches in Class",1

Pairs,1
,,"all p:Person | some c: Class |p in Person",1

Pairs,1
,,"some x : Class | x in Group implies x in Teacher",1

Pairs,4
,,"some p:Person | p in Teacher => some c:Class | p->c in Teaches",4

Pairs,4
,,"some c : Class, p : Person | p -> c in Teaches implies p in Teacher",4

