Pairs,131
,,"no adj & iden",12
,,"no iden & adj",17
,,"no (iden & adj & ~adj)",1
,,"no n:Node | n in n.adj",7
,,"no n:Node | n->n in adj",4
,,"all n:Node | n not in n.adj",46
,,"all n:Node | n not in adj.n",4
,,"all n:Node | n->n not in adj",13
,,"no n1: Node | n1 in n1.adj",1
,,"all a:Node | a->a not in adj",2
,,"all x : Node | not x->x in adj",2
,,"all n1:Node | n1 not in adj.n1",2
,,"all v : Node | not v->v in adj",3
,,"all e1 : Node | e1 not in e1.adj",2
,,"all n: Node | not n->n in adj",1
,,"all a:Node | not a->a in adj",1
,,"all n1:Node | n1->n1 not in adj",2
,,"all n1: Node | not n1->n1 in adj",1
,,"no (iden & adj & ~adj)
no (iden & adj)",1
,,"all x, y: Node | x in y.adj implies x != y",1
,,"no iden & adj

all n : Node | n not in n.adj",3
,,"all n1,n2:Node | some n1.adj:>n2 implies n1 != n2",2
,,"all n: Node | n->n not in adj
all n: Node | n not in n.adj",1
,,"all n: Node | not n->n in adj
all n: Node | n not in n.adj",2

