Pairs,2
,,"0 = 1",1
,,"adj & ~adj = iden",1

Pairs,23
,,"no adj",4
,,"no ~adj",3
,,"no Node.adj",1
,,"no adj . ~adj",1
,,"no Node.~adj",1
,,"no adj + ~adj",4
,,"no adj.~adj & iden",1
,,"no iden & adj.~adj",3
,,"all n : Node | no adj.n",2
,,"all n : Node | no adj:>n",1
,,"all n : Node | no (n.adj & (~adj).n)",1
,,"all n1,n2:Node | n1 in n2.adj implies n2 not in adj.n1",1

Pairs,3
,,"no adj.adj",1
,,"no (Node.adj & Node.(~adj))",1
,,"all e1 : Node | no Node.adj & adj.Node",1

Pairs,4
,,"all n, m : Node | n->m in adj iff m->n not in adj",1
,,"all n, n1 : Node | n->n1 in adj iff n1->n not in adj",1
,,"all n1,n2: Node | n1 in n2.adj iff n2 not in n1.adj",1
,,"all n1,n2:Node | n1 in n2.adj <=> n2 in (univ - n1.adj)",1

Pairs,2
,,"no n : Node, n2 : n.adj | n in n2.adj
not inv1
}

pred inv1{
all n : Node, n2 : n.adj | n in n2.adj",2

