Pairs,4
,,"some Init.trans.Event",2
,,"some (Init.trans).^(Event->State) & iden",2

Pairs,62
,,"Init.trans.Event = State",1
,,"Init.trans.State = State",2
,,"State in Init.(Event.trans)",1
,,"State in Init.trans.Event",3
,,"State = Init.^(trans.State)",2
,,"State = Init.^(Event.trans)",1
,,"State = ^(Init.trans).State",2
,,"(Init.^(Event.trans)) = State",1
,,"Init.^(trans.Event) = State",2
,,"State = Init.^(State.trans)",1
,,"State in ^(Init.trans).State",1
,,"State in Init.^(trans.Event)",2
,,"State in Init.^(Event.trans)",8
,,"all s : State | some Init.( s.trans)",1
,,"all s : State | some s.(Init.trans)",3
,,"all s:State | Init.^(s.trans) = s",1
,,"all s:State | s.^(s.trans) = State",2
,,"all s : State | some Init<:(s.trans)",1
,,"all s : State | s in Init.trans.State",2
,,"all s:State | s in Init.(Event.trans)",3
,,"all s : State | s in State.(Init.trans)",1
,,"all s : State | s in Init.trans.Event",1
,,"all s : State | s in Init.(trans[State])",1
,,"all s:State | State in s.trans.Event",1
,,"all s : State | State in Init.^(s.trans)",1
,,"all s : State | s in Init.^(trans.State)",2
,,"all s:State | s in Init.^(Event.trans)",5
,,"all s:State | s in Init.^(trans.Event)",4
,,"all s : State | s in ^(Init.trans).State",1
,,"all s:State | s in Init.^(State.trans)",1
,,"all s:State | some Init <: (trans.Event.s)",1
,,"all s: State | some i: Init | s in (i.trans.Event)",1
,,"all s: State | some i: Init | i in Event.(trans.s)",1
,,"all s : State | some e : Event | s->e in ^(Init.trans)",1

Pairs,72
,,"Event.(Init.trans) = State",6
,,"State in Init.trans[Event]",10
,,"(univ.^(Init.trans)) = State",1
,,"Event.^(Init.trans) = State",6
,,"State = Event.^(Init.trans)",1
,,"State in Event.*(Init.trans)",5
,,"State in Event.^(Init.trans)",4
,,"all s : State | some (Init.trans).s",1
,,"all s1 : State |  some (Init.trans).s1",3
,,"all s : State | some (Init <: trans).s",2
,,"all s:State | s in Event.(Init.trans)",13
,,"all s1 : State |  some (^(Init.trans)).s1",1
,,"all s:State | s in Event.*(Init.trans)",1
,,"all s:State | s in Event.^(Init.trans)",3
,,"State in (Init.trans[Event] + trans[Event].Init)",1
,,"State in (Init.trans[Event] + trans[Event].State)",1
,,"State in {x:State | some Init.^(trans.x)}",1
,,"State in {x:State | some ^(Init.trans).x}",1
,,"all s: State | some i: Init | s in Event.(i.trans)",1
,,"all s:State | some e:Event | s in e.(Init.trans)",1
,,"all s: State | some i: Init | i in trans.s.Event",1
,,"all s:State |some e:Event | e->s in Init.trans",2
,,"all s:State |some e:Event | s in e.^(Init.trans)",3
,,"all s: State | some i: Init | s in Event.^(i.trans)",2
,,"Init.{s1 : State, s2 : State | some e : Event | s1->e->s2 in trans} = State",1

Pairs,1
,,"Event.*(Init.trans) = State",1

Pairs,1
,,"all s1 : State |  one (Init.trans).s1",1

Pairs,1
,,"some e:Event| State in e.^(Init.trans)",1

Pairs,5
,,"State in ((Init.trans)[Event]).trans[Event]",1
,,"State in Event.(Event.(Init.trans.trans))",1
,,"all s : State | s in Init.trans[Event].trans[Event]",1
,,"all s: State | some i: Init | i in trans.(trans.s.Event).Event",1
,,"all s : State | s in Init.(trans[Event]) + Init.trans[Event].trans[Event]",1

Pairs,3
,,"all s : State | s in Init.trans[Event] + Init.trans[Event].trans[Event]",3

Pairs,2
,,"let adj ={x,y:State | some e:Event |x->e->y in trans} |
  
  some i:Init | (State) in i.^adj",1
,,"let t = { x : State, y : State | some e : Event | x->e->y in trans} |
  some e : Init | State in e.(^t)",1

