Pairs,5
,,"no Influencer.follows",1
,,"all i : Influencer | no i.follows",1
,,"all inf : Influencer | no inf.follows",2
,,"all u: User | u in Influencer => u.follows in (u - Influencer)",1

Pairs,27
,,"User = follows.Influencer",1
,,"follows.Influencer = User",4
,,"User in follows.Influencer",2
,,"all x: User| x in follows.Influencer",2
,,"all y : User | y in follows.Influencer",1
,,"all u:User | u in follows.Influencer",8
,,"all u:User| some (follows.Influencer & u)",1
,,"all u: User | some u.follows&Influencer",4
,,"all x : User | some i : Influencer | x in follows.i",1
,,"all x : User | some y : Influencer | x in follows.y",2
,,"all x:User | some y:Influencer | x->y in follows",1

Pairs,76
,,"Influencer in User.follows",13
,,"Influencer & User.follows = Influencer",1
,,"all x: Influencer| some follows.x",2
,,"all i : Influencer | some follows.i",4
,,"all y : Influencer | not no follows.y",2
,,"all i : Influencer | #(follows.i) > 0",1
,,"all f : Influencer | f in User.follows",1
,,"all x: Influencer | x in User.follows",2
,,"all i:Influencer| i in User.follows",31
,,"all inf : Influencer | inf in User.follows",3
,,"all user: User| Influencer in User.follows",1
,,"all u:User | u in Influencer implies u in User.follows",3
,,"all i: Influencer | (User.follows = i + User.follows)",1
,,"all influencer: Influencer | influencer in User.follows",2
,,"all i:Influencer | all u:User | some follows.i",1
,,"all i : Influencer | some u : User | u in follows.i",3
,,"all i : Influencer | some u : User | i in u.follows",2
,,"all u:User | u not in u-Influencer implies u in User.follows",1
,,"all i : univ | i in Influencer implies some e : univ | e->i in follows",1
,,"all i : univ | i in Influencer implies some e : User | e->i in follows",1

Pairs,35
,,"User.follows in Influencer",2
,,"follows in User->Influencer",1
,,"all x: User | x.follows in Influencer",2
,,"all u:User | u.follows in Influencer",22
,,"all u: User | no u.follows-Influencer",2
,,"all u:univ | u in User.follows implies u in Influencer",1
,,"all x,y : User | x->y in follows implies y in Influencer",1
,,"User.follows in Influencer and Influencer.follows in Influencer",1
,,"all u1,u2:User | u1->u2 in follows implies u2 in Influencer",2
