Pairs,3
,,"Protected in Trash",2
,,"all p:Protected | p in Trash",1

Pairs,11
,,"Protected not in Trash",8
,,"not Protected in Trash",1
,,"not all f:Protected | f in Trash",1
,,"some f : Protected | not f in Trash",1

Pairs,3
,,"all f:File | f in Protected",3

Pairs,1
,,"some f : File | not f in Trash",1

Pairs,1
,,"not all f:Protected | f not in Trash",1

Pairs,4
,,"some f:File|f in Protected implies f not in Trash",1
,,"some f:File | f in Trash implies f not in Protected",3

Pairs,1
,,"all f : File | some f : Protected | f not in Trash",1

Pairs,2
,,"all f : File | f not in Protected implies f in Trash",2

