Pairs,5
,,"some Trash",1
,,"some File releases some Trash",1
,,"some t: Trash | once t in File",1
,,"some t: Trash | once t in Trash",1
,,"some f: File | eventually always f not in File since f in Trash",1

Pairs,1
,,"after some File",1

Pairs,7
,,"eventually no File",3
,,"eventually (no Trash + File)",1
,,"eventually all f:File | f not in File",2
,,"eventually (all t: File | File' = File - t)",1

Pairs,9
,,"eventually no Trash",7
,,"some Trash implies eventually no Trash",1
,,"eventually (all t: Trash | Trash' = Trash - t)",1

Pairs,1
,,"eventually no File'",1

Pairs,1
,,"always File in Trash",1

Pairs,43
,,"eventually some Trash",24
,,"no Trash until some Trash",1
,,"eventually some File & Trash",5
,,"eventually some f:File | f in Trash",11
,,"eventually ( some f:File | f' in Trash)",1
,,"eventually (some f: File | f not in Trash implies after f in Trash)",1

Pairs,2
,,"eventually File' in File",2

Pairs,5
,,"eventually File in Trash",3
,,"eventually (no File - Trash)",1
,,"eventually (Trash + File = Trash)",1

Pairs,1
,,"eventually #File < #File'",1

Pairs,3
,,"some File until some Trash",2
,,"eventually some Trash
some File until some Trash",1

Pairs,2
,,"eventually File' not in File",2

Pairs,1
,,"eventually always some Trash",1

Pairs,1
,,"eventually (Trash' in Trash)",1

Pairs,3
,,"eventually File' = File-Trash",3

Pairs,1
,,"some Trash releases some File",1

Pairs,1
,,"eventually File.link in Trash",1

Pairs,1
,,"eventually Trash.link in Trash",1

Pairs,3
,,"some Trash eventually no Trash",2
,,"some File and some Trash and eventually no Trash",1

Pairs,1
,,"eventually some File-Protected",1

Pairs,1
,,"always (eventually some Trash)",1

Pairs,1
,,"some f: File | after f in Trash",1

Pairs,1
,,"Trash' = Trash + (File' - File)",1

Pairs,3
,,"some File eventually some Trash",2
,,"some f:File | eventually some Trash",1

Pairs,6
,,"no Trash and eventually some Trash",4
,,"no Trash and no Trash until some Trash",1
,,"no File & Trash and eventually some File & Trash",1

Pairs,2
,,"some File eventually File in Trash",2

Pairs,2
,,"eventually some File
after no File",2

Pairs,1
,,"some f: File | after f not in Trash",1

Pairs,19
,,"some f:File | eventually f in Trash",18
,,"some f: File | f not in Trash until f in Trash",1

Pairs,5
,,"all f:File | eventually f not in File",3
,,"all f:File | eventually no f & File",1
,,"all f : File | f in File until f not in File",1

Pairs,1
,,"always all f : File | File' = File - f",1

Pairs,2
,,"some f:Trash | eventually no Trash & f",2

Pairs,2
,,"some File implies eventually some Trash",2

Pairs,6
,,"eventually ( some f:File | f' in Trash')",4
,,"eventually (some f:File | after f in Trash)",2

Pairs,1
,,"some f : File | eventually some File - f",1

Pairs,4
,,"all f : Trash | eventually f not in File",2
,,"all f : Trash | f in File until f not in File",1
,,"all f : File | f in Trash => eventually f not in File",1

Pairs,3
,,"eventually some ((File-Protected) & Trash)",1
,,"eventually (some f : File-Protected | f in Trash)",2

Pairs,1
,,"some f : File | eventually f not  in Trash",1

Pairs,1
,,"always all f : File | eventually f in Trash",1

Pairs,1
,,"some f:File | eventually Trash' = Trash + f",1

Pairs,2
,,"some f : File | eventually f+link.f in Trash",2

Pairs,1
,,"some f : File | eventually always f in Trash",1

Pairs,4
,,"always some f : File | eventually f in Trash",4

Pairs,1
,,"eventually (Trash' = Trash + (File' - File))",1

Pairs,2
,,"eventually (File in File' and File != File')",2

Pairs,1
,,"some f:File-Protected | eventually f in Trash",1

Pairs,1
,,"all f:File | eventually some (f.link & Trash)",1

Pairs,3
,,"always all f: File | eventually f not in File",2
,,"always (all f:File | eventually no f&File)",1

Pairs,2
,,"all f : File | always eventually f not in File",1
,,"all f : File | always eventually f not in File + Protected + Trash",1

Pairs,1
,,"some f : File | eventually (f+f.link) in Trash",1

Pairs,1
,,"eventually (
some f: Trash | f not in Trash'
)",1

Pairs,3
,,"all f : Trash | always eventually f not in File",2
,,"all f : Trash | always eventually f not in File + Protected + Trash",1

Pairs,2
,,"always all f : Trash | eventually f not in File",1
,,"always all f : Trash | f in File until f not in File",1

Pairs,1
,,"eventually (some f : Trash | Trash' = Trash - f)",1

Pairs,2
,,"some f:Trash-Protected | eventually no Trash & f",2

Pairs,1
,,"always all f : File | eventually File' = File - f",1

Pairs,3
,,"some f: File | no Trash and eventually f in Trash",2
,,"no Trash and some f: File | eventually (f in Trash)",1

Pairs,1
,,"always eventually #File' < #File || #File' = #File",1

Pairs,2
,,"eventually some f:File | f in File-Trash-Protected",1
,,"eventually some f:File | f not in Trash and f not in Protected",1

Pairs,1
,,"all f : Trash | f in File until always f not in File",1

Pairs,1
,,"always some f : Trash | f in Trash releases f in File",1

Pairs,1
,,"some f: File | f not in Trash implies after f in Trash",1

Pairs,1
,,"all f : File | f not in Trash and eventually f in Trash",1

Pairs,1
,,"some f:File | eventually f in Trash and f.link in Trash",1

Pairs,3
,,"some f: File | f not in Trash and eventually f in Trash",3

Pairs,1
,,"always (some f:Trash-Protected | eventually no Trash & f)",1

Pairs,3
,,"some f : File | eventually f in Trash and link.f in Trash",1
,,"some f:File | eventually f in Trash and f.~link in Trash",2

Pairs,1
,,"all f : File | always f in Trash => eventually f not in File",1

Pairs,1
,,"some f : File | f in Trash implies eventually File' = File - f",1

Pairs,1
,,"always (some f: File | f not in Trash implies after f in Trash)",1

Pairs,1
,,"some f : File - Protected | f not in Trash and eventually f in Trash",1

