Pairs,47
,,"always no Trash & File'",1
,,"always no File' & File & Trash",1
,,"always all t : Trash | t not in File'",5
,,"always all f:Trash | f not in File'",7
,,"always all t: Trash | after t not in File",5
,,"always all f : Trash | after f not in File",8
,,"always (all f:Trash | after no File&f)",2
,,"always ( all f : (File & Trash) | after f not in File)",2
,,"always all f : File | f in Trash => f not in File'",5
,,"always all f:File | f in Trash implies after f not in File",9
,,"always (all f : File | f in Trash implies after File = File - f)",1
,,"always (all f : File | before f in Trash implies File = File - f)",1

