Pairs,3
,,"always Protected' = File",1
,,"always (Protected' =  (File - Protected) + Protected )",1
,,"always Protected' = Protected +(File - Protected)",1

Pairs,2
,,"always File-Protected'=Protected",1
,,"always all f:File | f in Protected' iff f not in Protected",1

Pairs,6
,,"always all f:File | f in Protected'",2
,,"always all f:File | after f in Protected",2
,,"always all f : File + Trash | after f in Protected",1
,,"always all f:File | eventually f not in Protected implies f in Protected'",1

Pairs,4
,,"always (File - Protected) = Protected'",2
,,"always Protected' = File-Protected",2

Pairs,9
,,"always ((File - Protected) in Protected)",1
,,"always all up:File-Protected | up' in Protected",1
,,"always all f:File | f not in Protected implies f in Protected",1
,,"always all up:File-Protected+Trash | up' in Protected",1
,,"always all f:File | f in File-Protected implies (f in Protected)",1
,,"always all f:File | f in File-Protected implies f'=Protected",2
,,"always all f:File | f in File-Protected implies f' in Protected",2

Pairs,1
,,"always all f:File | Protected' = Protected + f",1

Pairs,5
,,"always File not in Protected after File in Protected",5

Pairs,1
,,"always all f:(File-Protected)| always f in Protected'",1

Pairs,1
,,"always all f:File | f in File-Protected implies after f'=Protected",1

Pairs,1
,,"always all f:File | f not in Protected implies Protected' = Protected + f",1

