Pairs,17
,,"all f:File | eventually f in Trash",9
,,"all f:File-Trash | eventually f in Trash",4
,,"all f:File | eventually (f not in Trash implies f in Trash)",1
,,"all f:File | f not in Trash implies eventually f in Trash",2
,,"all f:File | eventually (f not in Trash implies after f in Trash)",1

Pairs,6
,,"eventually (all f:File | eventually f in Trash)",4
,,"eventually(all f:File-Trash | eventually (f in Trash))",1
,,"eventually ( all f:File | f not in Trash implies eventually f in Trash)",1

