Pairs,23
,,"no File",10
,,"historically no File",4
,,"some File since no File",4
,,"some File triggered no File",1
,,"some File since once no File",1
,,"some File since historically no File",2
,,"historically no (File+Trash+Protected)",1

Pairs,18
,,"some File'",2
,,"after some File",15
,,"no File since after some File",1

Pairs,37
,,"eventually some File",9
,,"no File until some File",8
,,"no File implies eventually some File",4
,,"no File until (eventually some File)",1
,,"always no File implies after some File",1
,,"historically (no File until some File)",2
,,"historically no File until some File",12

Pairs,1
,,"File' = File + File'",1

Pairs,5
,,"File' in File + File'",1
,,"no File implies eventually lone File",1
,,"all f : File | no f since some f",1
,,"all f : File | eventually f in File",1
,,"all f : File | after no File implies f in File",1

Pairs,4
,,"no File until some File'",2
,,"historically no File until some File'",2

Pairs,4
,,"no File
eventually some File",3
,,"historically no File
eventually some File",1

Pairs,7
,,"no File implies after some File",7

Pairs,1
,,"no File releases after some File",1

