Pairs,163
,,"no Trash & Protected",13
,,"no Protected&Trash",87
,,"Protected & Trash = none",3
,,"Protected in File-Trash",2
,,"Protected - Trash = Protected",2
,,"no t: Trash | t in Protected",2
,,"no p: Protected| p in Trash",5
,,"no f:Protected | f in Trash",2
,,"all p: Protected | p !in Trash",6
,,"all x : Protected | x not in Trash",2
,,"all f:Protected | f not in Trash",12
,,"all p: Protected |
not (p in Trash)",4
,,"all f: Protected | not f in Trash",1
,,"not some f:Protected | f in Trash",3
,,"all pf: Protected | no pf&Trash",1
,,"no f: File | f in Protected and f in Trash",1
,,"all u : univ | u in Protected implies u not in Trash",2
,,"all f:File | f in Protected => f not in Trash",9
,,"all u : File | u in Protected implies u not in Trash",1
,,"all f:File | f in Protected => not f in Trash",1
,,"all p : Protected |
p in Protected implies !(p in Trash)",2
,,"all p : Protected | p not in Trash


no Protected & Trash",2

