Pairs,4
,,"File.*link = File",1
,,"File.^link = File.link",1
,,"no disj l1,l2: File.link | l1 = l2",1
,,"all f: File,disj a,b: f.link | a!= b",1

Pairs,6
,,"link.link in iden",6

Pairs,1
,,"link.link in link",1

Pairs,6
,,"all d : File | d not in d.link",1
,,"all f:File | f not in f.link",1
,,"all f:File | f not in (f.~link)",1
,,"all f:File | disj[f,f.link]",1
,,"all d : File | (d not in d.link) or (d not in d.*link)",1
,,"all f1,f2:File | not f1 in f1.link && not f2 in f2.link",1

Pairs,1
,,"all f:File |  f.link.link in Trash",1

Pairs,3
,,"all f1 : File | no link.f1 & f1.link",1
,,"all f1, f2 : File | no link.f1 & f1.link",1
,,"all f1, f2 : File | no f1.link & link.f1",1

Pairs,1
,,"all disj f1,f2:File | not f1 in f1.link && not f2 in f2.link",1

