"no Student + Teacher",11
"no Teacher+Student",1
"no Teacher & Student",1
"no Student & Teacher",2
"no Student
  no Teacher",8
"Person != Student
  	Person != Teacher",1
"no Student and no Teacher and no Class",2
"no Student and no Teacher and some Person",2
"no (Person & Student) and no (Person & Teacher)",1
"all f : Person | f not in (Student + Teacher)",1
"all p : Person | no (p.Tutors + p.Teaches)",1
"(no Student) and (no Teacher) and no ( Student & Teacher )",1
"no Student and no Teacher and no Class and no Group",1
"all p:Person | p in Student implies p not in Teacher",2
"all p:Person | p in Teacher implies p not in Student",1
"all x: Person | x not in Student and x not in Teacher",4
"all p:Person | p not in Student implies p not in Teacher",3
"all p:Person | p not in Student and p not in Teacher",22
"all x : Person | x not in Student or x not in Teacher",1
"all p:Person | p not in Teacher implies p not in Student",1
"all p:Person | p not in Student or p not in Teacher",8
"all x : Person | x not in Student implies x not in Teacher",3
"all p:Person | p not in Teacher and p not in Student",6
"all p:Person | not (p in Teacher or p in Student)",1
"all p:Person | not (p in Teacher and p in Student)",1
"all p:Person | not (p in Student or p in Teacher)",4
"all p:Person | not (p in Student and p in Teacher)",3
"all p:Person | not (p not in Student implies p in Teacher)",1
"not some p : Person | p in Student or p in Teacher",1
"all p : Person | not p in Student and not p in Teacher",1
"all x : Person | x in Person implies x not in Student and x not in Teacher",1
"all p : Person | no (p.Tutors + p.Teaches) and no (Student + Teacher)",1
"all p : Person | p not in Student and p not in Teacher and no p.Teaches and no p.Tutors",1
"always (all s:Student | s not in Teacher)
	always (all t:Teacher | t not in Student)",1
"always (all p:Person | (p in Student implies p not in Teacher) and (p in Teacher implies p not in Student))",1
