"lone Teaches.Class",1
"lone Class->Teaches",1
"no Class.~Teaches",1
"Teaches.~Teaches in iden",1
"Teaches in Class one -> Person",1
"Teaches in Person one -> Class",6
"no Class.~Teaches.Teaches",1
"Teaches in Teacher one -> Class",3
"Teaches in Teacher one -> one Class",1
"all c : Class | lone Teacher",2
"all p:univ | one p.Teaches",1
"all c:Class | lone Teaches.c",10
"all c:Class | lone c.~Teaches",7
"Teacher <: Teaches in Teacher one -> Class",1
"all c : Teaches.Class | one Teacher",1
"all c : Teacher.Teaches | one Teacher",1
"all c:Class,t:Teacher | lone c.~Teaches",1
"Teaches in Person one -> Class
  Teaches in Teacher one -> Class",1
"all c:Class | one t:Teacher | t->c in Teaches",3
"all t1,t2 : Teacher, c : Class | t1->c in Teaches implies t2->c not in Teaches",1
"all c:Class |some t:Teacher | lone c.~Teaches and lone t.Teaches",1
