"Student+Teacher = Person",7
"Teacher + Student = Person",2
"Person = Teacher+Student",15
"Person=Student + Teacher",23
"Person in Teacher + Student",14
"Person in Student+Teacher",31
"Person - Teacher in Student",2
"Person - Student in Teacher",1
"no ((Person-Student)-Teacher)",9
"no Person - (Student + Teacher)",1
"no Person - (Teacher + Student)",1
"no (Person - Student) & (Person - Teacher)",3
"all p:Person | p in Student + Teacher",5
"all p:Person | p in Student or p in Teacher",14
"all p:Person | p in Teacher or p in Student",7
"no p:Person | p not in Teacher and p not in Student",1
"no p:Person | p not in Student and p not in Teacher",8
"all p:Person | not (p not in Student and p not in Teacher)",2
"not some p:Person | p not in Student and p not in Teacher",1
"all p : Person | not(not p in Student and not p in Teacher)",1
"all p : Person | p in Student or p in Teacher
  
  
  Person = Student + Teacher",2
"all p : Person | p not in Student => p in Teacher || p not in Teacher => p in Student",1
