"one Course.grades.Grade",1
"lone Course.grades.Grade",3
"grades in Course -> Student ->  Grade",1
"grades in Course -> Person one -> Grade",1
"grades in Course -> Person lone -> Grade",1
"lone Student.enrolled.grades.Grade",1
"lone (Student & Course.grades.Grade)",1
"lone (Course.grades.Grade & Student)",1
"all s : Student | lone grades.Grade",1
"all c : Course | one c.grades.Grade",1
"all g: one Grade | lone Course.grades.g",1
"all c : Course | lone c.grades.Grade",2
"all s: Student | lone grades.Grade.s",3
"all s:Student | lone s.(Course.grades)",3
"all s:Student | lone (s.enrolled).grades",1
"all s:Student | lone s.(enrolled.grades)",1
"all s: Student | lone ~(Course.grades).s",2
"all p: Student | lone ~(Course.grades).p",1
"all s:Student | lone s.((s.enrolled).grades)",1
"all p : Student | lone p.(p.enrolled.grades)",1
"all s : Person, c: Course | lone c.projects",1
"all c : Course | c.grades in Person lone -> Grade",1
"all c:Course,g:Grade | lone c.grades.g",3
"all c : Course | lone c.grades.Grade & Student",1
"all s : Student, c : Course | one c.grades.s",1
"all c : Course | lone (Student & c.grades.Grade)",3
"all s:Student, c:Course | one s.(c.grades)",3
"all c : Course | c.grades.Grade in Student.iden",1
"all c : Course | c.grades.Grade->Person in iden",2
"all x : Student | lone x->Grade & Course.grades",1
"all c:Course,p:Person | lone c.grades.Grade",1
"all c : Course | lone c.grades.Grade & enrolled.c",1
"all s : Student , c : Course | lone grades.Grade.s",1
"all s : Student , c : Course | lone c.grades.Grade",1
"all s : Student | lone grades.Grade.s & s.enrolled",3
"all s : Student, c : s.enrolled | one s.(c.grades)",2
"all c : Course | lone c.grades.Grade & c.~enrolled",1
"all c : Course, s : Student | one s & c.grades.Grade",1
"all p: Person, c: Course | lone (c.grades.Grade-p)",1
"all s: Student, c: Course | one (c.grades.Grade & c)",1
"all s: Student, c: Course | one (c.grades.Grade & s)",2
"all disj s1,s2:Student | lone s1.projects & s2.projects",1
"all s: Student, c: s.enrolled | lone c.grades.Grade",4
"all s : Student | all c : s.enrolled | lone c.grades",1
"all p: Person, c: Course, g: Grade | p->g in c.grades",1
"all c : Course | lone p : Student | p in c.grades.Grade",1
"all c : Course, s : Student | lone c.grades.Grade & Student",1
"all s: Student | lone g: Grade | s->g in Course.grades",1
"all s : Student | all c : Course | lone (s.enrolled.grades)",1
"all c : Course | all s : Person | one c.grades.Grade & s",1
"all c : Course | all s : Student| one c.grades.Grade & s",2
"all c: Course, s: Student | one (s.enrolled & c.grades.Grade)",1
"all s: Student, c: s.enrolled, g: one Grade | g in c.grades.g",1
"all s: Student, c: Course | c in s.enrolled implies lone c.grades",2
"all c: Course | some s: Student | lone (s & (c.grades.Grade))",1
"all s : Student, c: Course | c in s.enrolled implies one c.grades.s",1
"all s : Student, c : Course | c in s.enrolled and lone c.grades.s",1
"all s: Student, c: s.enrolled, g: one Grade | g in c.grades.Person",1
"all x: Student, y:Course | one z:Grade | y->x->z in grades",1
"all s:Student,c:Course | one g:Grade | c->s->g in grades",1
"all s : Student, c : Course | c in s.enrolled and lone ~(c.grades).s",1
"all p: Person, c: Course | one (c.grades.Grade & p) implies p in Student",1
"all c: Course, s: Student | c in s.enrolled implies one (s & c.grades.Grade)",1
"all c: Course, s: Student | one (s.enrolled & c.(grades.Grade.~enrolled))",1
"all s:Student, c:Course | s->c in enrolled => c.grades in s one -> Grade",1
"all s:Student, c:Course | s->c in enrolled => c.grades in s lone -> Grade",1
"all c : Course | lone g : Grade | all s : Student | (s->g) in c.grades",1
"all c : Course | all s : Student | c in s.enrolled implies one c.grades.Grade",1
"all s : Student | all c : Course | one g1 : Grade | s->g1 in c.grades",1
"all c : Course, g : Grade, s : Student | g in c.grades[s] => #c.grades=1",8
"all s : Student | all c : Course | all g : Grade | no (s->g & c.grades)",2
"all s : Student | all c : Course | all g : Grade | one (s->g & c.grades)",2
"all p: Person, c: Course | p in (c.grades.Grade) implies (c.grades.Grade)-p = none",1
"all c : Course | all p1,p2 : Student | p1+p2 in c.grades.Grade implies p1!=p2",2
"all p: Person, c: Course, g: Grade | c in p.enrolled implies lone c.grades.Grade-p",1
"all s : Student, c: Course | lone g: Grade | c in s.enrolled implies g in c.grades.s",1
"all s : Student, c: Course | lone g: Grade | c in s.enrolled implies c->s->g in grades",1
"all p: Person, c: Course, g: Grade | p->g in c.grades implies (c.grades.Grade - p = none)",1
"all s: Student, c1, c2: Course | c1=c2 => s in c1.grades.Grade && s not in c2.grades.Grade",1
"all s1, s2: Student, c: Course | s1 in c.grades.Grade && s2 in c.grades.Grade => s1!=s2",1
"all s: Student, c1, c2: Course | c1=c2 => s not in c1.grades.Grade || s not in c2.grades.Grade",1
"all p:Person, c:Course, g:Grade | p in Student and c in grades.g.p implies p in enrolled.c",1
"all s : Student | one c : Course | one g : Grade | c in s.enrolled implies s->g in c.grades",1
"all c : Course | lone g : Grade | all s : Student | c in s.enrolled implies (s->g) in c.grades",1
"all s : Student | all c : Course | lone g : Grade | c in s.enrolled implies s->g in c.grades",2
"all s : Student | lone grades.Grade.s & s.enrolled
  
  	all s : Student | lone grades.Grade.s",1
"all s:Student| all c:Course| one g:Grade| s->c in enrolled implies (c->s->g in grades)",1
"all s1, s2: Student, c: Course | s1+s2 in c.grades.Grade && s2 in c.grades.Grade => s1!=s2",1
"all s:Student| all c:Course| lone g:Grade| s->c in enrolled implies (c->s->g in grades)",1
"all c : Course | lone g : Grade | all s : Student | c in s.enrolled and g in c.grades.Grade",1
"all c : Course | all s : Student  | lone g : Grade | c in s.enrolled implies g in c.grades.Grade",1
"all s1, s2 : Student, c : Course , g: Grade | s1->g in c.grades and s2->g in c.grades implies s1!=s2",1
"all u1,u2 : Student | all c : Course | u1 in c.grades.Grade and u2 in c.grades.Grade implies u1=u2",1
"all s1,s2 : Student | all c : Course | s1 in c.grades.Grade and s2 in c.grades.Grade implies s1=s2",1
"all u1,u2 : Student | all c : Course | u1 in c.grades.Grade and u2 in c.grades.Grade implies u1!=u2",1
"all s1,s2 : Student | all c : Course | s1 in c.grades.Grade and s2 in c.grades.Grade implies s1!=s2",8
"all p: Person, c: Course | p in (c.grades.Grade) and c in p.enrolled implies (c.grades.Grade)-p = none",1
"all s : Student | all c : Course | lone g : Grade | s in enrolled.c implies lone (s->g & c.grades)",1
"all u1,u2 : Student | all g : Grade | all c : Course | (u1->g + u2->g) in c.grades implies u1=u2",1
"all u1,u2 : Student | all g : Grade | all c : Course | (u1->g + u2->g) in c.grades implies u1!=u2",1
"all g1,g2 : Grade | all u : Student | all c : Course | (u->g1 + u->g2) in c.grades implies g1!=g2",1
"all p1 : Student | all c1 : Course |
  	(p1->c1 in enrolled) implies (one g1 : Grade | c1->p1->g1 in grades)",2
"all p1 : Student | all c1 : Course |
  	(p1->c1 in enrolled) implies (some g1 : Grade | c1->p1->g1 in grades)",1
"all s1, s2 : Student, c : Course , g1, g2: Grade | s1->g1 in c.grades and s2->g2 in c.grades implies s1!=s2",1
"all p: Person, c: Course, g: Grade | c in p.enrolled and p->g in c.grades implies (c.grades.Grade - p = none)",1
"all s : Student | lone grades.Grade.s & s.enrolled
  
  	all s : Student, c : s.enrolled | lone c.grades.Grade",1
"all s : Student | lone grades.Grade.s & s.enrolled
  
  	all s : Student, c : s.enrolled | lone grades.Grade.s",1
"all s1,s2 : Student | all g1,g2 : Grade | all c : Course | s1->g1 in c.grades and s2->g2 in c.grades implies s1 != s2",3
"all s1, s2 : Student | all c : Course | s1 in c.grades.Grade and s2 in c.grades.Grade implies s1 != s2 and c in s1.enrolled",1
"all s : Student | some c : Course, g1 : Grade | c->s->g1 in grades implies all g2 : Grade | c->s->g2 in grades implies g1 = g2",1
"all c : Course | all s : Student | one (c.grades)&s->Grade
	all c : Course | all s : Student | one (c.grades.Grade)&s",1
"all s1, s2 : Student | all c : Course | s1 in c.grades.Grade and s2 in c.grades.Grade implies s1 != s2 and c in s1.enrolled and c in s2.enrolled",2
"all c : Course |  c.grades.Grade != none
	all s1,s2 : Student | all c : Course | s1 in c.grades.Grade and s2 in c.grades.Grade implies s1 != s2",1
"all c : Course | all p : Student | c in p.enrolled implies p in c.grades.Grade
	all c : Course | all p1,p2 : Student | p1+p2 in c.grades.Grade implies p1!=p2",2
"all c : Course | c.grades.Person != none implies c.grades.Grade != none
	all s1,s2 : Student | all c : Course | s1 in c.grades.Grade and s2 in c.grades.Grade implies s1 != s2",1
