"Person<:projects in Student some -> Project",37
"Person.projects - (Person - Student).projects = Project",8
"(Person <: projects).Project in Student
  	Person.projects = Project",1
"(no (Person-Student).projects) and (Project in Person.projects)",1
"Project in Person.projects
    no (Person - Student).projects",3
"no (Person-Student).projects
	Project in Student.projects",7
"(Person<:projects).Project in Student
  	Person<:projects in Person some -> Project",2
"all p: Project | some (Person<:projects).p and (Person<:projects).p in Student",10
"no (Person-Student).projects
  	(this/Person <: projects) in Student some -> Project",1
"all p:Project | (Person<:projects).p in Student and some (Person<:projects).p",9
"Person <: projects.Project in Student
  	Project in Person.projects",3
"(Person<:projects).Project in Student
    
    all y:Project| some (Person<:projects).y",4
"all p : Project | p.~(Person <: projects) in Student and some p.~(Person <: projects)",4
"all p: Project | some (Person<:projects).p
  no (Person-Student).projects",1
"no (Person <: projects).Project - Student
  	all p : Project | some (Person <: projects).p",2
"Project.~(Person<:projects) in Student
  	all p : Project | some p.~(Person<:projects)",2
"no (Person-Student).projects and all p: Project | p in Person.projects",1
"all p : Project | p in Person.projects
    no (Person - Student).projects",1
"all p : Project | no ((Person<:projects).p & (Person - Student)) and some (Person<:projects).p",2
"#(Person-Student).projects = 0
  
	all p: Project | p in Student.projects",1
"no (Person-Student).projects
  	all p:Project | some Person <: (projects).p",7
"all p:Person | some p.projects implies p in Student
  	Project in Person.projects",1
"all p : Project | some Person<:projects.p and Person<:projects.p in Student",2
"all p:Project | Person <: projects.p in Student and some Person <: projects.p",6
"all p:Project| Person <: projects.p != none and Person <: projects.p in Student",1
"no (Person-Student) & (Person<:projects).Project
  
  
	
  	all proj:Project | some (Person<:projects).proj",1
"all p:Project | (Person <: projects).p in Student
  	all p:Project |	some (Person <: projects).p",1
"Person & projects.Project in Student
  all p : Project | some Student & projects.p",1
"Person<:projects.Project in Student
	all p : Project | some Person<:projects.p",6
"Person:>projects.Project in Student
	all p:Project | some Person:>projects.p",4
"projects.Project <: Person in Student
    all p : Project | some projects.p <: Person",1
"all p : Project | p.~(Person <: projects) in Student
    
    all p : Project | some (Person <: projects).p",1
"all p : Project | (Person <: p.~projects) in Student and some (Person <: p.~projects)",2
"all p : Project | (Person :> p.~projects) in Student and some (Person :> p.~projects)",3
"all p : Project | some (Person :> projects.p)
  
    
     (Person :> projects.Project) in Student",4
"no (Person-Student) & projects.Project
   all p:Project| some Person<:projects.p",5
"all p : Project | p.~(Person <: projects) in Student
  all p: Project | some p.~(Person <: projects)",2
"(Person<:projects).Project in Student 
  	all p: Project | some s: Student | p in s.projects",2
"no (Person-Student).projects
  	all p:Project | some a:Person | p in a.projects",1
"(Person<:projects).Project in Student
  	all pr:Project | some p:Person | p->pr in Person<:projects",1
"all p : Person - Student | no p.projects
	all p : Project | p in Student.projects",1
"all p : Project | some s : Student | p in s.projects
  	no (Person - Student).projects",2
"no (Person-Student).projects  
    all p: Project | some x: Student | p in x.projects",1
"no (Person-Student).projects
  	all p:Project | some s:Student | p in s.projects",6
"no (Person - Student).projects 
  	all p: Project | some s : Student | s->p in projects",2
"no (Person - Student).projects
  	all p : Project | some pe : Person | p in pe.projects",1
"all p : Person-Student | p.projects = none
  	all p : Project | p in Person.projects",1
"all p : Project | no (Person-Student)  & (Person<:projects.p) and some (Person<:projects.p)",1
"all p : Person - Student | p.projects = none
	all p : Project | p in Student.projects",9
"all p : Project | p in Student.projects
  	all p : Person - Student | p.projects = none",1
"all p:Project | ((Person<:projects.p) in Student and some pe:Person | pe->p in projects )",3
"no Project.~(Person<:projects) - Student
  	all p:Project | some s:Student | s in p.~(Person<:projects)",2
"no (Person-Student) & (Person :> projects.Project)
  	all p : Project | some (Person :> projects.p)",1
"all p : Person | some p.projects implies p in Student
  	all p : Project | p in Student.projects",1
"all p: Person | p in projects.Project implies p in Student 
  	all p: Project | some (Person<:projects).p",1
"no (Person - Student).projects 
  	all p: Project | some person: Person | person->p in projects",1
"all pro: Project | #pro.~{Student <: projects} >= 1 and #pro.~{{Person-Student} <: projects} = 0",1
"all p:Project | some projects.p & Person
  	
  
  	all p:Project | projects.p & Person in Student",2
"no (Person-Student) & projects.Project
	
  	
  	all p:Project | some pe:Person | pe in projects.p",1
"all p:Project | Person<:projects.p in Student
  all p:Project | some Person<:projects.p",3
"(Person <: projects) in Student some -> Project
  
  all p: Person, p1:Project | (p->p1 in projects => p in Student)",1
"all x : Project | (projects).x <: Person in Student
  	all x : Project | some (projects).x <: Person",1
"all p : Project | some Person<:projects.p
  	all p : Project | Person<:projects.p in Student",4
"all p : Project | some projects.p <: Person
	all p : Project | projects.p <: Person in Student",1
"all p : Project | some (Person :> projects.p)
	all p: Project | (Person :> projects.p) in Student",12
"all p : Project | some Person.projects & p
  	all p : Person | some p.projects => p in Student",5
"all p : Person | some p.projects => p in Student
  	all p : Project | some Person <: projects.p",4
"all p : Project | some projects & Person->p
  	all p : Person | some p.projects implies p in Student",1
"all p : Person | some p.projects => p in Student
  	all p : Project | some projects.p :> Person",1
"all p : Project | some projects & Student->p
  	all p : Person | some p.projects implies p in Student",1
"all pr : Project | Person <:projects.pr in Student
  	all pr: Project | some Person <:projects.pr",2
"all p:Project | some (Person <: projects).p
	all p:Project, x:Person | x in (Person <: projects).p implies x in Student",3
"all p:Project | some (Person <: projects).p
	all p:Project, x:Person |p in x.projects implies x in Student",1
"all x : Person - Student | no x.projects
  	all x : Project | some y : Student | x in y.projects",1
"all x: Person - Student | no x.projects
    all p: Project | (some s: Student | p in s.projects)",1
"all p:Project, ps:Person | ps in (Person <: projects).p implies ps in Student
  	all p:Project | some (Person <: projects).p",5
"all pr:Project, p:Person | p in (Person <: projects).pr implies p in Student
    all pr:Project| some (Person <: projects).pr",1
"all pj: Project, p:Person | p in (Person <: projects).pj implies p in Student
  	all pj: Project | some (Person <: projects).pj",1
"all p : Project | p in Person.projects
  	all p : Project, u : Person | p in u.projects implies u in Student",1
"all person : Person - Student | person.projects = none
  	all project: Project | project in Student.projects",1
"all p:Project, p1: Person | p1 in projects.p implies p1 in Student
    all p : Project | p in Person.projects",2
"all p: Project | some s: Person | p in s.projects
  	all p: Person | some p.projects => p in Student",1
"all s : Person | some s.projects implies s in Student
  all p : Project | some s : Person | p in s.projects",1
"all p: Person | some p.projects => p in Student
	
	all p: Project | some s: Person | p in s.projects",1
"all p: Person, proj: Project | proj in p.projects implies p in Student
  	all proj: Project | some (Person <: projects).proj",1
"all p : Person | some p.projects implies p in Student
  	all pr : Project | some p : Person | pr in p.projects",2
"all p: Person, proj: Project | p->proj in (Person <: projects) implies p in Student
  	all proj: Project | some (Person <: projects).proj",1
"all p : Person | p not in Student implies p not in Person<:projects.Project
  	all p : Project | some Person<:projects.p",1
"all p: Project | all x: Person | p in x.projects implies x in Student
  	all p: Project | p in Student.projects",1
"all p : Project | all s : Person | p in s.projects implies s in Student
  	all p : Project | p in Student.projects",1
"all p : Project | some s : Student | s->p in projects and all per : Person | per->p in projects implies per in Student",2
"all x:Person-Student, y:Project | x->y not in projects
  all x:Project | some y:Person | y->x in projects",3
"all x:Project, y:Person-Student | y->x not in projects
  all x:Project | some y:Student | y->x in projects",3
"all p:Project | some (Person <: projects).p
	all p:Project, x:Person |some (Person <: projects).p and x in (Person <: projects).p implies x in Student",1
"all p : Person - Student, pr : Project | pr not in p.projects
  	all pr : Project | some s : Student | pr in s.projects",2
"all p: Person | p in projects.Project implies p in Student
  	all p: Project | some person: Person | person in projects.p",1
"all s : Person,p : Project | p in s.projects implies s in Student
  all p:Project | some s:Person | p in s.projects",1
"all p : Project, b : Person | p in b.projects => b in Student
  	all p : Project | some b : Person | p in b.projects",1
"(all a : Person, b : Project | b in a.projects implies a in Student) and (all d : Project | some c : Person | d in c.projects)",1
"all per:Person-Student, p:Project | p not in per.projects
  	all p:Project | some ps:Student | p in ps.projects",2
"all p: Person, o: Project | o in p.projects implies p in Student 
  	all l: Project | some p:Person | p->l in projects",1
"all p:Project | some projects.p & Person
  	all p:Project | some projects.p & Person implies projects.p & Person in Student",2
"all p:Person,j:Project | p->j in projects implies p in Student
  	all j:Project | some p:Person | p->j in projects",1
"all p:Project | some s:Person | s->p in projects
	all s:Person, p:Project | s->p in projects implies s in Student",1
"all x : Project, y : Person | y->x in projects implies y in Student
  	all x : Project | some y : Student | y->x in projects",1
"(all p: Project, x: Person | x->p in projects implies x in Student) and (all p: Project | some s: Student | s->p in projects)",3
"all p:Project | some s:Student | s->p in projects
  	all p:Project,s:Person | s->p in projects implies s in Student",3
"all p:Project | some s:Student | s->p in projects
	all s:Person, p:Project | s->p in projects implies s in Student",1
"all pr:Project, p:Person | p->pr in projects implies p in Student
  	all p:Project | some s:Student | p in s.projects",1
"all pj: Project, p: Person | pj in p.projects implies p in Student
  all pj: Project | some p: Person | pj in p.projects",2
"all p:Project, pe:Person | p in pe.projects implies pe in Student
  all p:Project | some s:Student | p in s.projects",2
"all p: Person, tp: Project | tp in p.projects implies p in Student
  all tp: Project | some s: Student | tp in s.projects",1
"all p:Project, p1: Person | p1 in projects.p implies p1 in Student
	

    all p: Project |some p1: Person| p1 in projects.p",2
"all p:Person , pr:Project|p->pr in projects implies p in Student
    all p:Project |some s:Student | s->p in projects",1
"(all p:Person, pj:Project | p->pj in projects implies p in Student) and (all pj:Project | some p:Person | p->pj in projects)",1
"all p:Person, pr:Project | p->pr in Person<:projects => p in Student
  	all pr:Project | some p:Person | p->pr in Person<:projects",1
"all pr: Project, p : Person | no (p & Student) implies pr not in p.projects  
  
  all p: Project | some s : Student | p in s.projects",2
"all p: Person , pr : Project | p in Student or p->pr not in projects
  all pr: Project | some s:Student | s->pr in projects",1
"(all p: Project, p1: Person | p in p1.projects implies p1 in Student) and (all p2: Project | some p3: Student | p2 in p3.projects)",3
"(all p: Person, pr : Project | p -> pr in projects implies p in Student) and (all pr1 : Project | some s : Student | s -> pr1 in projects)",1
"all p:Person, pr:Project | p->pr in projects implies p in Student
  	all pro:Project | some pe:Person | pe->pro in projects",3
"all p : Project | some s : Person | p in s.projects 
  	all p : Project | all s : Person | p in s.projects implies s in Student",1
"all p: Project | some pe: Person | pe -> p in projects
  all pe: Person , p: Project | pe in Student or not(pe->p in projects)",2
"(all p:Person, pj:Project | p -> pj in projects implies p in Student) and (all pj:Project | some per:Person | per -> pj in projects)",1
"all p: Project | all s: Person | s->p in projects implies s in Student
    all p: Project | some s: Person | s->p in projects",1
"all p : Project | all e : Person | e->p in projects implies e in Student
  	all p : Project | some e : Person | e->p in projects",2
"all p : Project | some s : Student | p in s.projects
  	all pr : Project | all p : Person   | pr in p.projects implies p in Student",1
"all p:Project | some s:Student | p in s.projects
  all p:Person | all pr:Project | pr in p.projects implies p in Student",1
"all p : Project | some s : Student | p in s.projects
  all p : Project | all pe : Person | p in pe.projects implies pe in Student",2
"(all pj : Project | all p : Person | p->pj in projects implies p in Student)
	and
	(all pj : Project | some p : Person | p->pj in projects)",1
"all p:Person | all po:Project | p->po in projects implies p in Student
    all pr:Project | some s:Student | s->pr in projects",2
"(all p : Person, proj1 : Project | p->proj1 in projects implies p in Student ) and (all proj : Project | some s : Student | s->proj in projects)",2
"all p : Project | all p2 : Person | p2->p in projects implies p2 in Student 
  all p : Project | some p2 : Person | p2->p in projects",1
"all p : Person |all pro : Project |pro in p.projects implies p in Student
  all pro : Project | some p : Person | pro in p.projects",1
"all p : Project | some s : Student | s->p in projects
  all p1 : Project | all p2 : Person | p2->p1 in projects implies p2 in Student",1
"(all p:Project | some s:Student | s->p in projects)
	(all p:Project | all per:Person | per->p in projects implies per in Student)",1
"all pro : Project, per : Person | per->pro in projects => per in Student
	all pro : Project | some per : Person | per->pro in projects",2
"all p : Project | some s : Student | s->p in projects
	all person : Person, p2 : Project | person->p2 in projects implies person in Student",3
"not some p:Person-Student | some proj:Project | p->proj in projects
  all proj:Project | some s:Student | s->proj in projects",1
"all p1 : Project | some p2 : Student | p2->p1 in projects
  all p1 : Person | all p2 : Project | p1->p2 in projects implies p1 in Student",1
"all proj : Project | some p : Person | proj in p.projects
	all proj : Project | all p : Person  | proj in p.projects implies p in Student",1
"(all p : Project | some per : Person | per->p in projects)
  	(all p : Project | all per : Person  | per->p in projects implies per in Student)",2
