"Work in User<:profile",1
"some User.visible.Work",1
"all w : Work | visible.w",1
"(User.visible).profile",1
"profile.(User.visible)",1
"all w : Work | source.profile",1
"Work.visible in source.profile",2
"all w:Work | w.source.visible.w",1
"User.visible implies User.profile",1
"all w: Work | visible.w profile.w",1
"visible.Work implies User.profile",1
"profile.source and source.visible",2
"some User.visible in User.profile",1
"User.visible implies profile.User",1
"source.profile and source.visible",1
"some User.profile in User.visible",1
"all u : User |  profile.(u.visible)",1
"all w : Work | some User.(visible.w)",1
"some pub: User.visible | profile.pub",1
"all w : Work | visible.w => profile.w",1
"all u : User | u.visible :> u.profile",1
"no Work in User.profile & User.visible",1
"all w:Work | some visible.w in w.source",1
"all w:Work | visible.w implies w in profile",1
"some w: Work | w in User.visible in User.profile",1
"all w:Work | User.visible:>w and User.profile:>w",1
"profile.source & visible.Work implies User.profile",1
"profile.source and visible.Work implies User.profile",1
"all u:User | u.visible implies u.visible in u.profile",1
"profile.source and source.visible implies User.profile",2
"all w : Work | some (User<:visible).w in (User<:profile).w",1
"all w : Work, u : User | some u.visible[w] => some u.profile[w]",1
