"always Protected",5
"historically Protected",1
"always always Protected",1
"always (File & Protected)",1
"Protected since Protected",2
"always (always Protected)",1
"once Protected always Proteced",1
"one Protected always Protected",1
"once Protected always Protected",5
"always Protected once Protected",1
"always Protected since Protected",2
"after Protected always Protected",1
"always (Protected since Protected)",1
"always Protected implies Protected'",1
"always (Protected implies Protected')",1
"always ((after Protected) = Protected)",1
"once Protected implies always Protected",1
"all f:File | once Protected implies always Protected",1
"all f: File | f always Protected since f in Protected",1
"all f:File | f.Protected implies always f in Protected",1
"always all f:Protected | always f in Protected and always ~f not in Protected",1
