"no link.link",51
"no File.link.link",22
"File.link.link = none",2
"link.link = none -> none",1
"no link.File & File.link",1
"all f:File | no f.link.link",20
"all f: File.link| no f.link",3
"all l : File.link | no l.link",2
"all f:File | f.link.link = none",4
"all l1:File.link | l1.link = none",1
"all f:File, f2:f.link | no f2.link",1
"all f: File | (some link.f) => (no f.link)",3
"all f : File | some f.link implies no link.f",3
"all f1, f2 : File | no f1.link & f2.~link",4
"all f,g: File | f->g in link implies no g.link",1
"all f : File |
all l : f.link |
no l.link",1
"all f : File | some f.link implies no f.link.link",1
"all f1,f2 : univ | f1->f2 in link implies no f2.link",2
"all f,g,h:File | f->g in link implies g->h not in link",3
"all l: File.link, l2: l.link | l2 not in File.link",1
"all f, f1, f2 : File | f->f1 in link => f1->f2 not in link",5
"all f1,f2,f3: File | f1->f2 in link implies f2->f3 not in link",1
"all l1,l2,l3: File| l1->l2 in link implies l2->l3 not in link",1
"not some f1,f2,f3:File | f1->f2 in link and f2->f3 in link",2
"all f : File | all f1 : f.link | no f1.link



no File.link.link",2
