"one (File <: link)",1
"lone link",9
"link in iden",1
"no File.link",1
"one File.link",4
"lone File.link",31
"lone (iden - link)",1
"link in File -> one File",1
"link in File one -> one File",1
"link in File lone -> one File",1
"link in File lone -> lone File",2
"all f: File | one link",1
"all f: File | lone link",2
"all x : File | lone link",1
"all f:File | lone File",1
"all f:File | one f.link",7
"all f:File | f.link = none",2
"all f : File | #f.link = 1",1
"one f: File | f.link in File",1
"lone f: File | f.link in File",2
"all file: File |
one file.link",1
"lone f2: File | f2 in File.link",1
"all f:File | one l: File | f.link = l",1
"all f1: File | some f2: File | f1.link = f2",1
"all f,f1 : File | f1 in f.link => f1 != f
lone (File <: link)",1
"all f,f1,f2 : File | f->f1 + f->f2 in link implies f1=f



all f : File | lone f.link",1
