na H: THEME UPDATE
inv1 T: all n:Node | n in Node.n
inv1 B: all n:Node | n in Node.adj
inv1 B: all n:Node | n in Node.adj or n in adj.Node
inv1 B: all n:Node | n in Node.adj or n in Node.^adj
inv1 S: all n:Node | n.adj = adj.n
inv1 C: all n:Node | n.adj = adj.n
inv2 B: all n:Node | n.adj != adj.n
inv2 O: all n1,n2:Node | n1 in n2.adj implies n2 not in adj.n1
inv2 C: all n1,n2:Node | n1 in n2.adj implies n2 not in n1.adj
inv3 C: all n:Node | n not in n.^adj
inv3 U: all n:Node | n not in n.~adj
inv3 C: all n:Node | n not in n.^adj
inv4 C: all n1,n2:Node | n1->n2 in adj
inv5 O: all n:Node | n not in n.^adj
inv5 C: all n:Node | n not in adj.n
inv6 O: all n:Node | Node in n.adj
inv6 O: all n:Node | Node in n.^adj
inv6 O: all n:Node | Node in n.^adj or Node in n.adj
inv6 B: all n:Node | n in Node.adj
inv6 O: all n1,n2:Node | n1->n2 in adj
inv6 O: all n1,n2:Node | n1->n2 in ^adj
inv8 C: all n1,n2,n3 : Node | n1->n2 in adj and n2->n3 in adj implies n1->n3 in adj

