NA H: THEME UPDATE
inv1 U: no Human & Robot
inv1 C: no Human & Robot	Worker = Human + Robot
inv1 C: Worker = Human + Robot
inv2 C: all w:Workstation | some w.workers	all wo:Worker | one workers.wo
inv3 O: all c:Component | one workstation.c
inv3 U: all m:Material | m in Component  => one workstation.m
inv3 C: all c:Component | one c.workstation
inv4 C: all c:Component|some c.parts	all m:Material | no m.parts
inv5 T: all w:Workstation, wo:Worker | no ((w.workers & Human) and (w.workers & Robot))
inv5 U: all w:Workstation, wo:Worker | no ((w.workers & Human) & (w.workers & Robot))
inv5 U: all w:Workstation, wo:Worker | no (w.workers & Human & Robot)
inv5 C: all w:Workstation, wo:Worker | no (w.workers & Human) or no (w.workers & Robot)
inv6 C: all c:Component | c not in c.^(parts)
inv7 O: all c :Component, d :Dangerous | d in c.^(parts) => c in Dangerous
inv8 S: all d:Dangerous & Components, c:d.workstation | no (c.workers & Human)
inv8 C: all d:Dangerous & Component, c:d.workstation | no (c.workers & Human)
inv8 C: all d:Dangerous & Component, c:d.workstation, w:Worker | w in c.workers => w not in Human
inv9 B: all w:Workstation| w in end => w in begin.^(succ)
inv9 T: all w:Workstation|  end => w in begin.^(succ)
inv9 U: all disj b,e:Workstation| b in end and e in begin => b in e.^(succ)
inv9 U: all disj b,e:Workstation| b in end and e in begin => b in e.*(succ)
inv9 U: all b,e:Workstation| b in end and e in begin and b !=e => b in e.*(succ)
inv9 U: all b,e:Workstation| b in end and e in begin => b in e.*(succ) or b = e
NA H: THEME UPDATE
inv1 C: all w:Worker| w in Human <=> w not in Robot

