NA H: THEME UPDATE
inv1 C: all c:Component | some c.parts
inv2 U: all c:Component | c not in c.parts
inv1 C: all c:Component | some c.parts
inv2 C: all c:Component | c not in c.^parts
inv3 T: all c:Component | some c.position in Robot.position
inv3 C: all c:Component |  c.position in Robot.position
inv4 O: all c:Component | c.parts in c.position.~^next
inv3 C: all c:Component | c.position in Robot.position
inv2 C: all c:Component | c not in c.^parts
inv4 T: all c:Component | c.parts  not in c.position.next
inv4 O: all c:Component | c.parts in c.position.~^next
inv4 O: all c:Component | c.parts in c.position.~^next
inv3 C: all c:Component | c.position in Robot.position
inv4 O: all c:Component | c.parts.position in c.position.~^next
inv4 T: all c:Component | c.parts:>(c.position.~^next)
inv4 T: all c:Component | c.parts(c.^position.~^next)
inv4 O: all c:Component | c.parts in (c.^position.~^next)
inv4 U: all c:Component | no (c.parts & c.position.~^next)
inv4 U: all c:Component | no (c.parts & c.parts.position.~^next)
inv4 O: all c:Component | no  c.parts.position.~^next
inv4 O: all c:Component | c.position in c.position.~^next
inv4 S: all c:Component | c.part.position in c.position.~^next
inv4 O: all c:Component | c.parts in c.position.~^next
inv4 U: all c:Component | c.position not in c.position.^next
NA H: THEME UPDATE
inv4 U: all c:Component | c.position not in c.position.^next

