NA H: THEME UPDATE
inv1 U: Human + Robot in Worker
inv1 C: Worker in Human + Robot
inv1 C: Worker in Human + Robot
inv2 U: workers in Workstation some -> some Worker
inv2 C: workers in Workstation one -> some Worker
inv3 C: all c:Component | one c.workstation
inv4 C: all c:Component | some c.parts	no Material.parts
inv5 C: no (workers.Human & workers.Robot)
inv6 S: all c:Components | c not in c.*parts
inv6 O: all c:Component | c not in c.*parts
inv6 C: all c:Component | c not in c.^parts
inv6 C: all c:Component | c not in c.^parts
inv7 O: all c:Component | some Dangerous&c.^parts implies c in Dangerous
inv8 C: all d:Dangerous | no Human&d.workstation.workers
inv9 U: Workstation in begin.*succ & end.*~succ	all w:Workstation | w not in w.^succ
inv9 C: Workstation in begin.*succ & end.*~succ	all w:Workstation | w not in w.^succ and lone w.succ
inv10 B: all c:Component | c.^parts in (c.workstation.^~succ).~workstation
inv10 B: all c:Component | no c.^parts & (c.workstation.^succ).~workstation
inv10 B: all c:Component | no c.^parts & (c.workstation.*succ).~workstation
inv10 B: all c:Component | c.^parts&Component in (c.workstation.^~succ).~workstation

