NA H: THEME UPDATE
inv1 S: all x : Photo | one posts x
inv1 S: all x : Photo | one posts x
inv2 T: all x,y : User | x follows y implies x != y
inv1 S: all x : Photo | one posts x
inv1 S: all x : Photo | one posts x
inv2 T: all x,y : User | x follows y implies x != y
inv1 S: all x : Photo | one posts x
inv1 S: all.x : Photo | one posts x
inv1 S: all x : Photo | one.posts.x
inv1 S: all x : Photo | one posts x
inv2 T: all x,y : User | x follows y implies x != y
inv2 T: all x,y : User | x follows y implies x != y
inv2 C: all u:User | u not in follows.u
inv1 C: all x : Photo | one posts.x
inv2 C: all u : User | u not in follows.u
inv2 C: all x : User | x not in follows.x

