NA H: THEME UPDATE
inv4 S: all u1 : User | some u1.posts in Ad implies (all ph : Photo |  ph in u1.posts | ph in Ad)
inv4 S: all u1 : User | some u1.posts in Ad implies (all ph : Photo |  ph in u1.posts | ph in Ad)
inv4 S: all u1 : User | some u1.posts in Ad implies (all ph : Photo |  ph in u1.posts | ph in Ad)
inv2 C: all u1 : User | u1 not in u1.follows
inv1 C: all x : Photo | one posts.x
inv3 C: all u1 : User | all ph : Photo |	ph in u1.sees  implies ((some u2 : User | ph in u2.posts and u2 in u1.follows ) or ph  in Ad)
inv4 S: all ph : Photo | all u1 : User | all ph2 : Photo | u1 -> ph in posts and u1 -> ph2 in posts | ph in Ad
inv4 S: all ph : Photo | all u1 : User | all ph2 : Photo | u1 -> ph in posts and u1 -> ph2 in posts | ph in Ad	implies ph2 in Ad
inv4 S: all ph : Photo | all u1 : User | all ph2 : Photo | u1 -> ph in posts and u1 -> ph2 in posts | ph in Ad implies ph2 in Ad
inv4 S: all ph : Photo | all u1 : User | all ph2 : Photo | u1 -> ph in posts and u1 -> ph2 in posts | ph in Ad implies ph2 in Ad
inv4 T: all u1 : User | some u1.posts in Ad implies (all ph : Photo | ph in Ad)
inv4 T: all u1 : User | some u1.posts in Ad implies ((all ph : Photo |  ph in u1.posts) implies ph->Ad)
inv4 S: all u1 : User | some u1.posts in Ad implies ((all ph : Photo |  ph in u1.posts) implies ph is Ad)
inv5 T: all u:User | some inf:Influencer | u!=inf implies u.follows inf
inv5 T: all u:User | some inf:Influencer | u != inf implies u.follows inf
inv6 T: all inf: Influencer | all day: Day | inf.posts day
inv6 T: all inf: Influencer | all day: Day | inf.posts day
inv5 B: all u:User | some inf:Influencer | u != inf implies inf in u.follows
inv5 B: all u:User | some inf:Influencer | u != inf implies inf in u.follows && u not in inf.follows
inv5 B: all u:User | some inf:Influencer | u != inf implies inf in u.follows
inv5 B: all u:User | some inf:Influencer | u != inf implies inf in u.follows && u not in inf.follows

