NA H: THEME UPDATE
inv4 T: all u : User | all p : Photo | u.posts.p and p in Ad
inv1 C: all p : Photo | one posts.p
inv3 C: all u : User | all p : Photo | u->p in sees and p not in Ad implies u in follows.(posts.p)
inv4 O: all u : User | all p : Photo | p in u.posts and p in Ad
inv4 T: all u : User | all p : Photo | some p in u.posts and p in Ad
inv4 B: all u : User | some p : Photo | p in u.posts and p in Ad
inv4 S: all u : User | some p : Photo | p in u.posts and p in Ad implies u.posts.ad
inv4 B: all u : User | some p : Photo | p in u.posts and p in Ad implies u.posts in Ad
inv4 B: all u : User | some p : Photo | (p in u.posts and p in Ad) implies u.posts in Ad
inv4 C: all u : User | (some p : Photo | p in u.posts and p in Ad) implies u.posts in Ad
inv5 T: all i : Influencer | all u : User | u != i implies u.follows.i
inv4 C: all u : User | (some p : Photo | p in u.posts and p in Ad) implies u.posts in Ad
inv6 T: all d : Day | all i : Influencer | some d in u.posts.date
inv6 T: all d : Day | all i : Influencer | some d in u.posts.date
inv5 U: all i : Influencer | all u : User | u != i implies u->i in follows
inv6 E: 
inv6 T: all d : Day | all i : Influencer | some d in u.posts.date
inv6 S: all d : Day | all i : Influencer | u.posts.date.d
inv6 S: all d : Day | all i : Influencer | d in u.posts.date
inv6 C: all d : Day | all i : Influencer | d in i.posts.date

