NA H: THEME UPDATE
inv1 S: one posts.Image
inv1 B: one posts.Photo
inv1 C: all p:Photo| one posts.p
inv2 C: all u:User| u not in u.follows
inv3 O: all u,i:User, p:Photo-Ad| p in u.sees implies p in i.posts and i in u.follows	all a:Ad| a in User.sees
inv3 O: all u,i:User, p:Photo-Ad| p in u.sees implies p in i.posts and i in u.follows
inv3 B: all u,i:User, p:Photo-Ad| p in u.sees and p in i.posts implies  i in u.follows
inv4 C: all u:User, p:Photo| p in u.posts and p in Ad implies  u.posts in Ad
inv5 S: all i:Influencers| i in User.follows
inv5 B: all i:Influencer| i in User.follows
inv5 B: all i:Influencer| i in (User-i).follows
inv5 U: all i:Influencer, u:User-i| i in u.follows
inv6 S: all i:Influencer, d:Date| d in i.post.date
inv6 S: all i:Influencer, d:Day| d in i.post.date
inv6 C: all i:Influencer, d:Day| d in i.posts.date
inv7 U: all u,i:User | i in u.suggested implies i not in u.follows and i in u.follows.follows
inv8 B: all u,i:User, a:Ad | a in u.sees and a in i.posts implies i in u.follows or i in u.suggested

