NA H: THEME UPDATE
inv1 B: all t:Track | some e:Entry | some ex:Exit | e in t.succs and t in e.succs
inv1 B: all t:Track | some e:Entry | some ex:Exit | e in t.succs and t in ex.succs
inv1 C: some Exit and some Entry
inv1 C: some Exit and some Entry
inv3 S: all e:Exit | no t.^(succs)
inv2 C: all s:Signal | one t:Track | s in t.signals
inv3 U: all e:Exit | no e.^(succs)
inv3 S: all t:Track | t in exit implies no t.^(succs)
inv3 U: all t:Track | t in Exit implies no t.^(succs)
inv3 C: all t:Track | t in Exit <=> no t.^(succs)
inv5 S: all t:Track | t in Junction <=> #suc
inv3 S: all t:Track | none in t.succs
inv5 S: all t:Track | t in Junction <=> #suc
inv5 S: all t:Track | t in Junction <=> #suc

