NA H: THEME UPDATE
inv1 C: no Green
inv1 C: historically no Green
inv1 C: no Green
inv1 C: no Green
inv2 C: all s:Signal | eventually s in Green
inv3 C: always all t:Train | t.pos' = t.pos
inv4 C: always all disj t1,t2:Train | no (t1.pos & t2.pos )
inv5 B: always (all t:Train |t.pos in Entry  implies  (t.pos'= t.pos.prox)   or  t.pos in Exit implies no t.pos')
inv5 B: always (all t:Train |t.pos in Entry  implies  (t.pos'in  t.pos.^prox)   or  t.pos in Exit implies no t.pos')
inv5 S: always (all t:Train |t.pos in Entry  implies  (t.pos'in  (t.pos.^prox)<:Exit   or  t.pos in Exit implies no t.pos')
inv5 S: always (all t:Train |t.pos in Entry  implies  (t.pos'in  ((t.pos.^prox)<:Exit)   or  t.pos in Exit implies no t.pos')
inv5 S: always (all t:Train |t.pos in Entry  implies  (t.pos'in  (t.pos.^prox)  or  t.pos in Exit implies no t.pos')
inv5 B: always (all t:Train |t.pos in Entry  implies  (t.pos'in  (t.pos.^prox) ) or  t.pos in Exit implies no t.pos')
inv5 B: always (all t:Train |t.pos in Entry  implies  (t.pos'in  (t.pos.^prox) ) or  t.pos in Exit implies no t.pos')
inv6 U: always (all s:Signal | always (s in Green) implies eventually (s not in Green ) or	always s not in Green implies  eventually (s in  Green) )
inv5 B: always (all t:Train |t.pos in Entry  implies  (t.pos'in  (t.pos.^prox) ) or  t.pos in Exit implies no t.pos')
inv5 B: always (all t:Train |t.pos in Entry  implies  (t.pos'in  (t.pos.^prox) ) or  t.pos.prox in Exit implies no t.pos')
inv5 B: always (all t:Train |t.pos in Entry  implies  (t.pos'in  (t.pos.^prox) ) or  t.pos in Exit implies no t.pos')
inv5 B: always (all t:Train |t.pos in Entry  implies  (t.pos'in  (t.pos.prox) ) or  t.pos in Exit implies no t.pos')
inv5 S: all t:Train |{	always (t.pos in Exit implies no t.pos')	always (t.pos in Entry  implies  (t.pos'in  (t.pos.prox) )	}
inv5 B: all t:Train |{	always (t.pos in Exit implies no t.pos')	always (t.pos in Entry  implies  (t.pos'in  (t.pos.prox) ))	}
inv5 B: all t:Train |{	always (t.pos in Exit implies  t.pos'= t.pos)	always (t.pos in Entry  implies  (t.pos'in  (t.pos.prox) ))	}
inv5 B: all t:Train |{	always (t.pos in Exit implies  t.pos'= t.pos)		}
inv5 B: all t:Train |{	always (t.pos in Exit implies  no t.pos')		}
inv5 B: all t:Train |{	always (t.pos in Exit implies   t.pos'= t.pos)		}
inv5 B: all t:Train |{	always (t.pos in Exit implies   t.pos'=none)		}
inv5 B: all t:Train |{	always (t.pos in Exit implies   t.pos'=t.pos)		}
inv5 B: all t:Train |{	always (t.pos in Exit implies no t.pos')		}
inv5 B: all t:Train |{	always (t.pos in Exit implies no t.pos')	always (t.pos in Track-Exit  implies  (t.pos'in  (t.pos.prox) ))	}
inv5 B: all t:Train |{	always (t.pos in Exit implies  t.pos'= t.pos)		}
inv5 B: all t:Train |{	always (t.pos in Exit implies  t.pos'= t.pos)		}
inv5 B: all t:Train |{	always (t.pos in Exit implies  no t.pos')		}
inv5 B: all t:Train |{	always (t.pos in Exit implies  no t.pos')		}
inv5 B: all t:Train |{	always (t.pos in Exit implies  no t.pos')			}

