NA H: THEME UPDATE
inv1 E: 
inv1 T: no File in Trash
inv1 T: no File in Trash
inv1 T: no File in Trash
inv1 E: 
inv1 S: all f : f not in Trash
inv1 S: all f | f not in Trash
inv1 S: all f | true
inv1 B: some f : File | f in Trash
inv1 C: all f : File | f not in Trash
inv2 C: all f : File | f in Trash
inv3 C: some f : File | f in Trash
inv4 S: all f Protected | f not in Trash
inv4 C: all f : Protected | f not in Trash
inv5 B: all f : Protected | f in Trash
inv5 B: all f : Protected | f in Trash
inv5 C: all f : File | (f not in Protected) implies (f in Trash)
inv4 C: all f : Protected | f not in Trash
inv4 C: all f : Protected | f not in Trash

