NA H: THEME UPDATE
inv1 C: all f:File | f not in Trash
inv2 C: all f:File | f in Trash
inv3 C: some f: File | f in Trash
inv4 C: all p:Protected | p not in Trash
inv5 S: all f: Files | f not in Protected implies f in Trash
inv5 C: all f: File| f not in Protected implies f in Trash
inv6 C: all f1,f2,f3: File | (f1->f2 in link and f1->f3 in link) implies f2=f3
inv7 B: all f1,f2:File | f1->f2 in link implies f1 not in Trash
inv7 O: all f1,f2:File | f1->f2 in link implies (f1 not in Trash and f2 not in Trash)
inv7 U: all f1,f2:Trash | f1->f2  not in link
inv7 B: not some f1,f2:File | f1->f2 in link and f1 in Trash
inv7 C: not some f1,f2:File | f1->f2 in link and f2 in Trash
inv7 U: all f1,f2:Trash | f1->f2 in link implies (f2 not in Trash)
inv7 T: not some f1,f2: File | f1->f2 not in File
inv7 T: not some f1,f2: File | f1->f2 not in File
inv8 C: not some f1,f2:File | f1->f2 in link
inv7 B: not some f1,f2: File | f1->f2 not in link
inv7 B: not some f1,f2: File | f1->f2 not in link and f2 in Trash
inv7 C: not some f1,f2: File | f1->f2 in link and f2 in Trash
inv9 C: not some f1,f2,f3: File | f1->f2 in link and f2->f3 in link
inv10 B: all f1,f2: File | f1->f2 in link and f2 in Trash => f1 in Trash
inv10 C: all f1,f2: File | f1->f2 in link and f1 in Trash => f2 in Trash

