NA H: THEME UPDATE
inv1 O: always (no File and no Protected)
inv1 C: no Trash and no Protected
inv3 C: always some File
inv4 S: some eventually Trash
inv4 C: eventually some Trash
inv5 S: eventually some Empty
inv5 S: eventually some empty
inv7 O: some Protected
inv7 S: some after Protected
inv7 O: after some Protected
inv7 C: eventually some Protected
inv10 T: always Protected
inv11 T: after Protected
inv2 C: no File and after some File
inv12 T: eventually Trash and always Trash
inv5 O: some File eventually no File
inv5 O: some File after eventually no File
inv6 T: some File in Trash always Trash
inv6 T: some Trash after always Trash
inv13 U: File in Trash implies once no Trash
inv13 S: File in Trash implies once not in Trash
inv13 S: f:File in Trash implies once f not in Trash
inv5 S: f:File eventually not in File
inv5 O: some File eventually no File
inv8 S: Link in Trash
inv5 O: some File	no File'
inv5 S: eventually f:File | f not in File'
inv5 C: eventually some f:File | f not in File'
inv15 B: eventually all f:File | f in Trash
inv6 C: always all f:Trash | always f in Trash
inv8 T: eventually all l:link | l in Trash
inv8 S: eventually all f:File, l.f:link | l in Trash
inv8 S: eventually all f:File, l->f:link | l in Trash
inv8 T: eventually all f:File, l:link | l->f in Trash
inv10 S: always all Protected
inv10 U: always all p:Protected | always p in Protected
inv11 O: always all f:File | f in Protected'
inv9 C: always all p:Protected | p not in Trash
inv10 S: always p:Protected | always p in Protected
inv10 U: always all p:Protected | always p in Protected
inv11 O: always all f:File | after f in Protected
inv13 U: eventually all f:Trash | once f not in Trash
inv13 U: eventually all f:File | f in Trash implies once f not in Trash
inv15 C: always all f:File | eventually f in Trash
inv18 B: always some f:File | f in Trash implies f not in Protected
inv18 B: always all f:File | f in Trash implies f not in Protected
inv18 B: always all f:File | f not in Protected implies f in Trash
inv19 U: eventually all p:Protected | p in Protected until p in Trash
inv19 B: eventually all f:File | f in Protected until f in Trash
inv19 O: always all f:File | f in Protected until f in Trash
inv19 S: always all File in Protected until File in Trash
inv19 O: always all f:File | f in Protected until f in Trash
inv13 S: allways all f:File | f in Trash implies once not in Trash
inv13 S: always all f:File | f in Trash implies once not in Trash
inv13 C: always all f:File | f in Trash implies once f not in Trash
inv8 T: eventually all l:link | l in Trash
inv8 T: eventually all l:link,f:File | l.f in Trash
inv10 U: always all f:File | f in Protected implies always f in Protected
inv10 U: always all p:Protected | p in Protected
inv10 U: always all p:Protected | p in Protected'
inv10 U: always all p:Protected | always p in Protected
inv11 C: always all f:File | f not in Protected implies f in Protected'
inv10 U: always all f:File | f in Protected implies always f in Protected and f not in Protected implies always f not in Protected
inv10 U: always all f:File | (f in Protected implies always f in Protected) and (f not in Protected implies always f not in Protected)

