NA H: THEME UPDATE
inv1 C: all f:File | f not in Trash
inv1 B: all f:File | f in Trash
inv1 C: all f:File | f not in Trash
inv1 C: all f:File | f not in Trash
inv2 S: no some f:File | f not in Trash
inv1 C: all f:File | f not in Trash
inv1 C: all f:File | f not in Trash
inv4 S: all f:File | f in protected => f not in Trash
inv1 C: all f:File | f not in Trash
inv1 C: all f:File | f not in Trash
inv6 T: all f1, f2, f3:File | f1->f2 in link and f1->f3 => f2=f3
inv1 C: all f:File | f not in Trash
inv2 C: not some f:File | f not in Trash
inv3 C: some f:File | f in Trash
inv4 C: all f:File | f in Protected => f not in Trash
inv5 C: all f:File | f not in Protected => f in Trash
inv6 C: all f1, f2, f3:File | f1->f2 in link and f1->f3 in link => f2=f3
inv7 T: all	f1, f2:File | f1->f2 in link => f1->f2 not in Trash
inv7 T: all	f1, f2:File | f1->f2 in link => f1->f2 in Trash
inv6 C: all f1, f2, f3:File | f1->f2 in link and f1->f3 in link => f2=f3
inv7 U: all	f1, f2:File | f1->f2 in link => f1->f2 in link
inv7 O: all	f1, f2:File | f1->f2 in link => f1->f2 not in link
inv7 B: all	f1, f2:File | f1->f2 in link => f1 not in Trash
inv7 O: all	f1, f2:File | f1->f2 in link => f1 not in Trash and f2 not in Trash
inv7 B: not some f1, f2:File | f1->f2 not in link
inv7 B: not some f1, f2:File | f1->f2 in link and f1 in Trash

