inv11 B: all c : Class, s : Student, t : Teacher | some g : Group | c->s->g in Groups implies t->c in Teaches
inv11 B: all c : Class, s : Student | some g : Group, t : Teacher | c->s->g in Groups implies t->c in Teaches
inv11 B: all c : Class, s : Student, g : Group, t : Teacher | c->s->g in Groups implies t->c in Teaches
inv11 B: all c : Class, s : Student, g : Group | some t : Teacher | c->s->g in Groups implies t->c in Teaches
inv11 B: all c : Class | some s : Student, g : Group, t : Teacher | c->s->g in Groups implies t->c in Teaches
inv11 B: all c : Class, s : Student, g : Group | some t : Teacher | c->s->g in Groups implies t->c in Teaches
inv11 U: all c : Class, s : Student, g : Group | some t : Person | c->s->g in Groups implies t->c in Teaches and t in Teacher
inv11 B: all c : Class, s : Student, g : Group | some t : Teacher | c->s->g in Groups implies t->c in Teaches
inv11 B: some t : Teacher | all c : Class, s : Student, g : Group | c->s->g in Groups implies t->c in Teaches
inv11 B: all t : Teacher | all c : Class, s : Student, g : Group | c->s->g in Groups implies t->c in Teaches
inv11 B: all c : Class, s : Student, g : Group | some t : Teacher | c->s->g in Groups implies t->c in Teaches
inv11 B: all c : Class, s : Student, g : Group | some t : Teacher | c->s->g in Groups implies t->c in Teaches
inv11 U: all c : Class, s : Student, g : Group | some t : Person | c->s->g in Groups implies t->c in Teaches and t in Teacher
inv11 B: all c : Class, s : Student, g : Group, t : Person | c->s->g in Groups implies t->c in Teaches and t in Teacher
inv11 B: all c : Class, s : Student, g : Group | some t : Teacher | c->s->g in Groups implies t->c in Teaches
inv11 B: all c : Class, s : Student, g : Group | some t : Teacher | (c->s->g in Groups) implies t->c in Teaches
inv11 B: all c : Class, s : Student, g : Group | some t : Teacher | (c->s->g in Groups) implies (t->c in Teaches)
inv11 B: all c : Class, s : Student, g : Group | some t : Teacher | c->s->g in Groups implies t->c in Teaches
inv11 U: all c : Class, s : Student, g : Group | some t : Person | c->s->g in Groups implies t->c in Teaches and t in Teacher
inv11 C: all c : Class, s : Person, g : Group | some t : Person | c->s->g in Groups implies t->c in Teaches and t in Teacher

