inv11 B: all c : Class | some t : Teacher | 	  		t->c in Teaches => (some p : Person, g : Group | c->p->g in Groups)
inv11 O: all c : Class | some t : Teacher | 	  		t->c in Teaches <=> (some p : Person, g : Group | c->p->g in Groups)
inv11 B: all c : Class | some t : Teacher | 	  		t->c not in Teaches => (some p : Person, g : Group | c->p->g not in Groups)
inv11 B: all c : Class | some t : Teacher | t->c not in Teaches => (some p : Person, g : Group | c->p->g not in Groups)
inv11 B: all c : Class | lone t : Teacher | 	  		t->c not in Teaches => (some p : Person, g : Group | c->p->g not in Groups)
inv11 B: all c : Class | some t : Teacher | 	  		t->c in Teaches => (some p : Person, g : Group | c->p->g in Groups)
inv11 O: all c : Class | some t : Teacher | 	  		t->c in Teaches <=> (some p : Person, g : Group | c->p->g in Groups)
inv11 B: all c : Class | some t : Teacher | 	  		t->c in Teaches => (some p : Person, g : Group | c->p->g in Groups)
inv11 B: all c : Class | some t : Teacher | 	  		t->c in Teaches => (some p : Person, g : Group | c->p->g not in Groups)
inv11 B: all c : Class | some t : Teacher | 	  		t->c in Teaches => (some p : Person, g : Group | c->p->g in Groups)
inv11 B: all c : Class | some t : Teaches.c | (some p : Person, g : Group | c->p->g in Groups)
inv11 B: all c : Class | some t : Teacher | 	  		t->c in Teaches => (some p : Person, g : Group | c->p->g in Groups)

