inv5 S: some c: Class |all t: Teacher | c.groups->t in Teacher
inv5 S: some c: Class |all t: Teacher | c.groups->t
inv5 C: some c: Class | some t: Teacher | t->c in Teaches
inv5 T: some c: Class | some t: Teacher | t.c in Teaches
inv5 C: some c: Class | some t: Teacher | t->c in Teaches
inv5 T: some c: Class | some t: Teacher | t.Teaches
inv5 T: some c: Class | some t: Teacher | Teaches.t
inv5 T: some c: Class | some t: Teacher | Teaches.c
inv5 T: some c: Class | some t: Teacher | t.Teaches
inv5 C: some c: Class | some t: Teacher | t->c in Teaches
inv5 C: some c: Class | some t: Teacher | t->c in Teaches

