inv10 T: all c:Course | c.grades in Student
inv10 U: all c:Course | c.grades.1 in Student
inv10 S: all c:Course | c.grades.left in Student
inv10 S: all c:Course | c.grades.p in Student
inv10 S: all c:Course | c.grades.p->g in Student
inv10 U: all c:Course | c.grades.Person in Student
inv10 S: all c:Course | c.grades.[Person] in Student
inv10 U: all c:Course | c.grades.Person in Student
inv10 O: all c:Course | c.grades[Person] in Student
inv10 T: all c:Course | c.grades in Student
inv10 B: all c:Course | c.grades[Student] in Student
inv10 C: all c:Course, s:Person-Student | no c.grades[s]

