inv9 B: all p1:Professor, p2:Professor, c:Course | c in p1.teaches implies c not in p2.enrolled
inv9 S: all p1:Professor, p2:Professor, c:Course | c in p1.teaches and c2 in p2.teaches implies p1!=p2
inv9 B: all p1:Professor, p2:Professor, c:Course | c in p1.teaches and c in p2.teaches implies p1!=p2
inv9 B: all p1:Professor, p2:Professor, c:Course | c in p1.teaches and c in p2.enrolled implies p1!=p2
inv9 B: all p1:Professor, p2:Professor, c:Course | p1 in teaches.c and p2 in teaches.c implies (all c2:Course | p1 in teaches.c2 implies p2 not in enrolled.c2)
inv9 B: all p1:Professor, p2:Professor, c:Course | p1 in teaches.c and p2 in teaches.c implies (all c2:Course | p1 in teaches.c2 implies p2 not in enrolled.c2)
inv9 S: all p1:Professor, p2:Professor, c:Course | c in p1.teaches and c in p2.teaches implies (all c2:Course | c2 in p1.teaches implies c not in p2.enrolled)
inv9 S: all p1:Professor, p2:Professor, c:Course | c in p1.teaches and c in p2.teaches implies (all c2:Course | c2 in p1.teaches implies c2 not in p2.enrolled)
inv9 B: all p1:Professor, p2:Professor, c:Course | c in p1.teaches and c in p2.teaches implies (all c2:Course | c2 in p1.teaches implies c2 not in p2.enrolled)
inv9 S: all p1:Professor, p2:Professor, c:Course | c in p1.teaches and p2.teaches implies (all c2:Course | c2 in p1.teaches implies c2 not in p2.enrolled)
inv9 T: all p1:Professor, p2:Professor, c:Course | c in p1.teaches and p2.teaches implies (all c2:Course | c2 in p1.teaches implies c2 not in p2.enrolled)
inv9 B: all p1:Professor, p2:Professor, c:Course | c in p1.teaches and  c in p2.teaches implies (all c2:Course | c2 in p1.teaches implies c2 not in p2.enrolled)

