inv4 C: all p : Project | one (Course :> projects.p)
inv4 C: all p : Project | one (Course :> projects.p)
inv4 T: all p : Project | one (Course -> Project & projects.p)
inv4 T: all p : Project | one (Course -> Project & projects.p)
inv4 B: all p : Project | one (Course -> Project & projects)
inv4 C: all p : Project | one (Course :> projects.p)
inv4 C: all p : Project | one (Course :> projects.p)
inv4 C: all p : Project | one (Course :> projects.p)
inv4 S: Course->Project &  one Course.projects
inv4 C: all p : Project | one (Course :> projects.p)

