inv9 B: all p1, p2 : Professor, c: p1.teaches | c not in p2.enrolled
inv9 B: all p1, p2 : Professor, c : Course | c in p1.teaches implies c not in p2.enrolled
inv9 B: all p1, p2 : Professor, c : Course | p1 != p2 and c in p1.teaches implies c not in p2.enrolled
inv9 T: all p1, p2 : Professor, c : Course | p1 != p2 & p1 in teaches.c and p2 in teaches.c implies (p1 = p2)
inv9 B: all p1, p2 : Professor, c : Course | p1 != p2 and p1 in teaches.c and p2 in teaches.c implies (p1 = p2)
inv9 S: all p1, p2 : Professor, c : Course |  and c in p1.teaches and c in p2.teaches implies (all c2 : Course | c2 in p1.teaches implies p2 not in c2.enrolled )
inv9 U: all p1, p2 : Professor, c : Course |  c in p1.teaches and c in p2.teaches implies (all c2 : Course | c2 in p1.teaches implies p2 not in c2.enrolled)
inv9 U: all p1, p2 : Professor, c : Course | p1 != p2 and c in p1.teaches and c in p2.teaches implies (all c2 : Course | c2 in p1.teaches implies p2 not in c2.enrolled)
inv9 B: all p1, p2 : Professor, c : Course | p1 != p2 and c in p1.teaches and c in p2.teaches implies (all c2 : Course | c2 in p1.teaches)
inv9 U: all p1, p2 : Professor, c : Course | p1 != p2 and c in p1.teaches and c in p2.teaches implies (all c2 : Course | c2 in p1.teaches implies c2 not in p2.enrolled)
inv9 U: all p1, p2 : Professor, c : Course | p1 != p2 and c in (p1.teaches & p2.teaches) implies (all c2 : Course | c2 in p1.teaches implies c2 not in p2.enrolled)

