inv8 B: all x:Professor | x.teaches != x.enrolled
inv8 T: all x:Professor, c:Course | c in x.teaches != c in x.enrolled
inv8 B: all x:Professor, c:Course | c in x.teaches implies c in x.enrolled
inv8 B: all x:Professor, c:Course | c in x.teaches iff c in x.enrolled
inv8 B: all x:Professor, c:Course | c in x.teaches iff c not in x.enrolled
inv8 B: all x:Professor, c:Course | x in teaches.c iff c not in x.enrolled
inv8 B: all x:Professor, c:Course | c in x.teaches iff c not in x.enrolled
inv8 B: all x:Professor, c:Course | x in teaches.x iff x not in enrolled.c
inv8 B: all x:Professor, c:Course | x in teaches.c iff x not in enrolled.c
inv8 U: all x:Professor, c:Course | c in x.teaches implies c not in x.enrolled
inv8 U: all x:Professor, c:Course | c in x.teaches implies c not in x.enrolled

