inv4 S: all p.Project | p implies Course.projects
inv4 S: all p.Project | p implies Course
inv4 T: all p:Project | p implies Course
inv4 T: all p:Project | p implies Course.projects
inv4 U: all p:Project | p in Course.projects
inv4 T: all p:Project | one p.Course.projects
inv4 B: all p:Project | one Course.projects
inv4 B: all p:Project | one Course
inv4 S: all p:Project | p in one Course
inv4 S: all p:Project | p in one Course.projects
inv4 T: all p:Project | one Course implies p
inv4 T: all p:Project | one Course implies p.projects
inv4 T: all p:Project | one Course.projects implies p
inv4 T: all p:Project | p.projects in Course.projects
inv4 T: all p:Project | one projects.p
inv4 S: all p:Project | one (Course c: projects).p
inv4 S: all p:Project | one (Course.c: projects).p
inv4 S: all p:Project | one (Course.c:projects).p
inv4 S: all p:Project | one (Course.c.projects).p
inv4 S: all p:Project | one (Course < c:projects).p
inv4 T: all p:Project | one (Course < c.projects).p
inv4 C: all p:Project | one (Course <: projects).p
inv4 C: all p:Project | one (Course <: projects).p

