inv12 U: all s : Student | all c : Course | all g : Grade | lone (s->g & c.grades)
inv12 U: all s : Person | all c : Course | all g : Grade | lone (s->g & c.grades)
inv12 U: all s : Student | all c : Course | all g : Grade | lone (s->g & c.grades)
inv12 U: all s : Student | all c : Course | all g : Grade | lone (g & s.(c.grades))
inv12 U: all s : Student | all c : Course | all g : Grade | lone (g & (c.grades).s)
inv12 T: all s : Student | all c : Course | all g : Grade | lone (g & (s.c.grades))
inv12 U: all s : Student | all c : Course | all g : Grade | lone (g & s.(c.grades))
inv12 U: all s : Student | all c : Course | all g : Grade | lone (g & s.(c.grades))
inv12 S: all s : Student | all c : Course | all g : Grade | lone (x->g & c.grades)
inv12 U: all s : Student | all c : Course | all g : Grade | lone (s->g & c.grades)
inv12 T: all s : Student | all c : Course | all g : Grade | (s->g & c.grades)
inv12 B: all s : Student | all c : Course | all g : Grade | no (s->g & c.grades)
inv12 U: all s : Student | all c : Course | all g : Grade | lone (s->g & c.grades)
inv12 B: all s : Student | all c : Course | all g : Grade | no (s->g & c.grades)
inv12 B: all s : Student | all c : Course | all g : Grade | one (s->g & c.grades)
inv12 U: all s : Student | all c : Course | c in s.enrolled implies lone s.(c.grades)

