inv4 S: all s:State-Init | s in ^(trans.e).Init
inv4 B: all s:State-Init| some e:Event | s in ^(trans.e).Init
inv4 T: all s:State-Init| some e:Event | s in Init.^trans[e]
inv4 B: all s:State-Init| some e:Event | s in Init.trans[e]
inv4 B: all s:State-Init| some e:Event | s in Init.trans[e]
inv4 T: all s:State-Init| some e:Event | s in Init.^trans
inv4 S: all s:State-Init| some e:Event | s in Init.trans^[e]
inv4 B: all s:State-Init| some e:Event | s in e.^(Init.trans)
inv4 U: all s:State-Init| some e:Event | s in e.^(State.trans)
inv4 T: all s:State-Init| some e:Event | s in e.(Init.^trans)
inv4 T: all s:State-Init| some e:Event | s in ^e.(Init.trans)
inv4 B: all s:State-Init| some e:Event | s in ~(Init.trans)[e]
inv4 T: all s:State-Init| some e:Event | s in ~(Init.trans)
inv4 T: all s:State-Init| some e:Event | s in ^(s.e.Init.trans)
inv4 T: all s:State-Init| some e:Event | s in (s.e.Init.trans)
inv4 S: all s:State-Init| some e:Event | s in
inv4 S: all s:State-Init| some e:Event | s in

