inv1 S: all p : Photo, one u : User | p in u.posts
inv1 C: all p : Photo | one u : User | p in u.posts
inv1 C: all p : Photo | one u : User | p in u.posts
inv1 C: all p : Photo | one u : User | p in u.posts
inv1 B: all p : Photo | one u : User | p = u.posts
inv1 T: all p : Photo | one u : User | one p = u.posts
inv1 B: all p : Photo | all u : User | p = u.posts
inv1 B: all p : Photo | one u : User | p = u.posts
inv1 U: all p : Photo | one u : User.posts | p = u
inv1 B: all p : Photo | one u : User.posts | p = p

