inv5 T: all i: Influencer | follows.i
inv5 T: all i: Influencer | follows.i
inv5 T: all i: Influencer | follows.i
inv5 T: all i: Influencer | follows.i
inv5 T: all i: Influencer | follows.i
inv5 T: all i: Influencer, u:User | u.follows.i
inv5 T: all i: Influencer | follows.i
inv5 T: all i: Influencer | follows.i
inv5 T: all i:Influencer | follows.i
inv5 B: all i:Influencer, u:User | u->i in follows
inv5 T: all i:Influencer | i.follows
inv5 B: all i:Influencer, u:User | u->i in follows
inv5 B: all i:Influencer, u:User | u in follows.i
inv5 U: all i:Influencer, u:User-Influencer | u in follows.i
inv5 U: all i:Influencer, u:User-Influencer | u in follows.i

