inv7 S: all u1,u2 : User | u2 in u1.suggested implies (u2 not in u1.followed and u2 in u1.follows.follows)
inv7 U: all u1,u2 : User | u2 in u1.suggested implies (u2 not in u1.follows and u2 in u1.follows.follows)
inv7 B: all u1,u2 : User | u2 in u1.suggested implies (u2 not in follows.u1 and u2 in follows.follows.u1)
inv7 U: all u1,u2 : User | u2 in suggested.u1 implies (u2 not in follows.u1 and u2 in follows.follows.u1)
inv7 U: all u1,u2 : User | u2 in suggested.u1 implies (u2 not in follows.u1 and u2 in follows.follows.u1 and u1 != u2)
inv7 B: all u1,u2 : User | u2 in u1.suggested implies (u2 not in u1.follows and u2 in follows.follows.u1 and u1 != u2)
inv7 U: all u1,u2 : User | u2 in u1.suggested implies (u2 not in u1.follows)
inv7 U: all u1,u2 : User | u2 in u1.suggested implies (u2 not in u1.follows and u1 != u2)
inv7 U: all u1,u2 : User | u2 in u1.suggested implies (u2 not in u1.follows and u1 != u2)
inv7 U: all u1,u2 : User | u2 in u1.suggested implies (u2 not in u1.follows and u1 != u2 and u2 in u1.follows.follows)
inv7 B: all u1,u2 : User | u2 in u1.suggested implies (u2 not in u1.follows and u1 != u2 and u2 in follows.follows.u1)
inv7 B: all u1,u2 : User | u2 in u1.suggested implies (u2 not in u1.follows and u1 != u2 and (all u3 : User | u3 in u2.follows and u1 in follows.u3))
inv7 B: all u1,u2 : User | u2 in u1.suggested implies (u2 not in u1.follows and u1 != u2 and (all u3 : User | u3 in u2.follows and u1 in u3.follows))

