inv1 S: all  p : Photo | one user.posts
inv1 B: all  p : Photo, u: User | one u.posts
inv1 T: all  p : Photo, u: User | one u.posts = p
inv1 B: all  p : Photo, u: User | p in u.posts
inv1 B: all  p : Photo, u: User | p in u.posts
inv1 B: all  p : Photo, u: User | p in u.posts
inv1 B: all  p : Photo, u: User | p in u.posts
inv1 B: all  p : Photo, u: User | p in u.posts
inv1 S: all  p : Photo, one u: User | p in u.posts
inv1 U: all  p : Photo | p in User.posts
inv1 B: all  p : Photo, u: User | p in u.posts
inv1 B: all  p : Photo, u: User | p in u.posts
inv1 B: all  p : Photo, u: User | p in u.posts
inv1 B: all  p : Photo, u: User | p in u.posts

