inv9 S: all t : Tracks | all j : Junction | all s : Semaphore | j not in t.succs implies no s in t.signals
inv9 T: all t : Track | all j : Junction | all s : Semaphore | j not in t.succs implies no s in t.signals
inv9 B: all t : Track | all j : Junction | all s : Semaphore | j not in t.succs implies s not in t.signals
inv9 T: all t : Track | all j : Junction | all s : Semaphore | j not in ^t.succs implies s not in t.signals
inv9 B: all t : Track | all j : Junction | all s : Semaphore | j not in t.^succs implies s not in t.signals
inv9 B: all t : Track | all j : Junction | all s : Semaphore | j not in succs.t implies s not in t.signals
inv9 B: all t : Track | all j : Junction | all s : Semaphore | j not in t.succs implies s not in t.succs.signals
inv9 B: all t : Track | all j : Junction | all s : Semaphore | j not in t.succs implies s not in t.signals
inv9 B: all t : Track | all j : Junction | all s : Semaphore | j in t.succs implies s in t.signals
inv9 T: all t : Track | all j : Junction | all s : Semaphore | no j in t.succs implies s not in t.signals
inv9 B: all t : Track | all j : Junction | all s : Semaphore | j not in t.succs implies s not in t.signals

