inv6 U: all s:Signal | (s in Green implies s not in Green') or (s not in Green implies s in Green')
inv6 U: always (all s:Signal | (s in Green implies s not in Green') or (s not in Green implies s in Green'))
inv6 S: always (all s:Signal | (s in Green implies s not in Green') )
inv6 S: always (all s:Green | after  s not in Green )
inv6 S: always (all s:Signals |  (s in Green implies always (no (s &  Green'))) or no (s & Green) implies always (some (s &  Green'))  )
inv6 S: always (all s:Signals |  (s in Green implies always (no (s &  Green'))) or no (s & Green) implies always (some (s &  Green')) )
inv6 S: always (all s:Signals |  (s in Green implies always (no (s &  Green'))) )
inv6 S: always (all s:Signals |  (s in Green implies always (no (s &  Green') )
inv6 S: always (all s:Signals |  s in Green implies always (no (s &  Green') ))
inv6 S: always (all s:Signals | s in Green implies  (no (s &  Green') ))
inv6 S: always (all s:Signals | s in Green )
inv6 S: always (all s:Signals |  (s in Green implies always (no (s &  Green'))) or no (s & Green) implies always (some (s &  Green'))) )
inv6 S: always (all s:Signal |  (s in Green implies always (no (s &  Green'))) or no (s & Green) implies always (some (s &  Green'))) )
inv6 S: always (some s:Signal |  (s in Green implies always (no (s &  Green'))) or no (s & Green) implies always (some (s &  Green'))) )
inv6 B: always (some s:Signal |  (s in Green implies always (no (s &  Green'))) or	no (s & Green) implies always (some (s &  Green')))
inv6 B: always (some s:Signal |  (s in Green implies always (no (s &  Green'))) or	no (s & Green) implies always (some (s &  Green')))
inv6 U: always (all s:Signal |  (s in Green implies always (no (s &  Green'))) or	no (s & Green) implies always (some (s &  Green')))
inv6 U: always (all s:Signal |  (s in Green implies eventually (no (s &  Green'))) or	no (s & Green) implies  eventually (some (s &  Green')))
inv6 U: always (all s:Signal | always (s in Green) implies eventually (no (s &  Green'))  or	always (no (s & Green)) implies  eventually (some (s &  Green')))
inv6 U: always (all s:Signal |  (s in Green) implies eventually (s not in Green ) or	s not in Green implies  eventually (s in  Green) )
inv6 U: always (all s:Signal | always (s in Green) implies eventually (s not in Green ) or	always s not in Green implies  eventually (s in  Green) )
inv6 U: always (all s:Signal | always (s in Green) implies eventually (s not in Green ) or	always s not in Green implies  eventually (s in  Green) )

