inv7 S: all f:file | none f.link in Trash
inv7 T: all f:File | none f.link in Trash
inv7 T: all f:File | no f.link in Trash
inv7 B: all f:File | f.link not in Trash
inv7 B: all f:File | link.f not in Trash
inv7 T: all l:link | l not in Trash
inv7 T: all l:link | l not in l.Trash
inv7 T: all l:link | l not in l->Trash
inv7 T: all l:link | l not in l.Trash
inv7 T: all l:link | l not in Trash.l
inv7 B: all f:File | link.f not in Trash
inv7 B: all f:File | link.f not in Trash
inv7 T: no link in Trash
inv7 T: not link in Trash
inv7 T: all f:File | f in link implies f not in Trash
inv7 T: all f:File | f.link implies f not in Trash
inv7 B: all f:File | f.link not in Trash
inv7 T: all f:File | f in link not in Trash
inv7 T: all f:File | f->link not in Trash
inv7 B: all f:File | f.link not in Trash
inv7 T: all f:File | f->link not in Trash
inv7 T: all f:File | f->link implies f not in Trash
inv7 B: all f,g:File | f->g in link implies f not in Trash
inv7 C: all f,g:File | f->g in link implies g not in Trash
inv7 C: all f,g:File | f->g in link implies g not in Trash

