inv7 O: all x,y :File | (x->y in link) implies x not in Trash and y not in Trash
inv7 U: all x,y :File | (x->y in link and y->x in link) implies x not in Trash and y not in Trash
inv7 T: all x,y :File and Protected | (x->y in link and y->x in link) implies x not in Trash and y not in Trash
inv7 T: all x,y :File | (x->y in link or Protected and y->x in link) implies x not in Trash and y not in Trash
inv7 T: all x,y :File | (x->y in link or Protected and y->x in link) implies x not in Trash and y not in Trash
inv7 U: all x,y :File | (x->y in link and y->x in link) implies x not in Trash and y not in Trash
inv7 U: all x,y :File | (x->y in link and y->x in link) implies x not in Trash and y not in Trash
inv7 S: all f:File | isLink[f] implies not in Trash	}		/* There are no links. */		pred isLink[f:File]{	all f:File | isLink[f] implies f not in Trash
inv7 S: all f:File | isLink[f] implies not in Trash	}		/* There are no links. */		pred isLink[f:File]{	all f:File | f->g in link
inv7 S: all f:File | isLink[f] implies not in Trash	}		/* There are no links. */		pred isLink[f:File]{	all g:File | g->f in link
inv7 U: all f:File | isLink[f] implies f not in Trash	}		pred isLink[f:File]{	all g:File | g->f in link
inv7 U: all f:File | isLink[f] implies f not in Trash	}		pred isLink[f:File]{	all g:File | f->g in link
inv7 U: all f:File | isLink[f] implies f not in Trash	}		pred isLink[f:File]{	all g:File | g->f in link
inv7 U: all f:File | isLink[f] implies f not in Trash	}		pred isLink[f:File]{	all g:File | g->f in link
inv7 C: all f:File | isLink[f] implies f not in Trash	}		pred isLink[f:File]{	some g:File | g->f in link
inv7 C: all f:File | isLink[f] implies f not in Trash	}		pred isLink[f:File]{	some g:File | g->f in link

