inv6 B: eventually some f:File | always f not in File'
inv6 B: eventually some f:File | f not in File' and always f not in File'
inv6 S: eventually some f:File | f not in File' | always f not in File'
inv6 B: eventually some f:File | always f not in File'
inv6 B: eventually some f:File | always f in Trash'
inv6 B: eventually some f:File | always f in Trash
inv6 B: some f:File | always f in Trash
inv6 B: some f:File | always f in Trash'
inv6 B: all f:File | always f in Trash'
inv6 B: all f:File | always f in Trash
inv6 B: all f:File | f in Trash and always f in Trash'
inv6 S: all f:File | f in Trash	always f in Trash'
inv6 S: all f:File | f in Trash always f in Trash'
inv6 U: all f:Trash | always f in Trash'
inv6 U: all f:Trash | always f in Trash
inv6 C: always all f:Trash | always f in Trash
inv6 C: always all f:Trash | always f in Trash

